DelayTimeFromStop	Right	Total	Percent
-1.5	7	9	0.7777777777777778
-2.5	0	1	0.0
-0.5	9	9	1.0
0.5	7	9	0.7777777777777778
1.5	7	9	0.7777777777777778
2.5	7	9	0.7777777777777778
3.5	9	9	1.0
4.5	10	10	1.0
5.5	8	9	0.8888888888888888
6.5	8	9	0.8888888888888888
7.5	7	7	1.0

DelayTimeFromStopLeft	Right	Total	Percent
-1.5	4	5	0.8
-2.5	0	1	0.0
-0.5	4	4	1.0
0.5	3	5	0.6
1.5	3	5	0.6
2.5	4	5	0.8
3.5	3	3	1.0
4.5	6	6	1.0
5.5	3	3	1.0
6.5	4	5	0.8
7.5	3	3	1.0

DelayTimeFromStopRight	Right	Total	Percent
-1.5	3	4	0.75
-0.5	5	5	1.0
0.5	4	4	1.0
1.5	4	4	1.0
2.5	3	4	0.75
3.5	6	6	1.0
4.5	4	4	1.0
5.5	5	6	0.8333333333333334
6.5	4	4	1.0
7.5	4	4	1.0
