DelayTime	Percent
0.0	0.1111111111111111
0.08	0.5555555555555556
0.16	0.5555555555555556
0.24	0.7777777777777778
0.32	0.5555555555555556
0.4	0.5555555555555556
0.48	0.7777777777777778
0.56	0.8888888888888888
0.64	0.8888888888888888
0.72	0.7777777777777778

DelayTime	LPercent
0.0	0.0
0.08	0.5
0.16	0.5
0.24	0.8
0.32	0.5
0.4	0.5
0.48	0.75
0.56	0.8
0.64	0.75
0.72	0.8

DelayTime	RPercent
0.0	0.2
0.08	0.6666666666666666
0.16	0.6
0.24	0.75
0.32	0.6
0.4	0.6666666666666666
0.48	0.8
0.56	1.0
0.64	1.0
0.72	0.75

