DelayTimeFromStop	Right	Total	Percent
-3.5	3	7	0.42857142857142855
2.5	8	9	0.8888888888888888
-4.5	3	7	0.42857142857142855
-5.5	0	1	0.0
-1.5	14	15	0.9333333333333333
3.5	7	8	0.875
-2.5	9	11	0.8181818181818182
-0.5	8	8	1.0
4.5	2	2	1.0
5.5	1	1	1.0
0.5	5	6	0.8333333333333334
1.5	9	9	1.0
8.5	2	2	1.0
7.5	2	3	0.6666666666666666
9.5	1	1	1.0

DelayTimeFromStopLeft	Right	Total	Percent
2.5	3	4	0.75
-4.5	2	4	0.5
-3.5	2	3	0.6666666666666666
3.5	4	5	0.8
-2.5	4	5	0.8
-1.5	6	6	1.0
-0.5	5	5	1.0
4.5	1	1	1.0
5.5	1	1	1.0
0.5	3	4	0.75
1.5	4	4	1.0
8.5	1	1	1.0
7.5	1	1	1.0
9.5	1	1	1.0

DelayTimeFromStopRight	Right	Total	Percent
-3.5	1	4	0.25
-4.5	1	3	0.3333333333333333
-5.5	0	1	0.0
-1.5	8	9	0.8888888888888888
-2.5	5	6	0.8333333333333334
-0.5	3	3	1.0
4.5	1	1	1.0
0.5	2	2	1.0
1.5	5	5	1.0
2.5	5	5	1.0
7.5	1	2	0.5
3.5	3	3	1.0
