TimeStamp	right	total	percentage
-1.5	41.0	52.0	0.7884615384615384
-2.5	31.0	36.0	0.8611111111111112
-0.5	55.0	66.0	0.8333333333333334
0.5	44.0	51.0	0.8627450980392157
1.5	48.0	60.0	0.8
2.5	42.0	51.0	0.8235294117647058
3.5	43.0	50.0	0.86
4.5	52.0	57.0	0.9122807017543859
5.5	40.0	47.0	0.851063829787234
6.5	24.0	26.0	0.9230769230769231
7.5	15.0	15.0	1.0
-3.5	10.0	12.0	0.8333333333333334
-5.5	1	1	1.0
-4.5	2	4	0.5
12.5	1	1	1.0
23.5	1	1	1.0
18.5	1	1	1.0
20.5	2	2	1.0
21.5	1	1	1.0
22.5	1	1	1.0
24.5	1	1	1.0
16.5	1	1	1.0
15.5	1	1	1.0
8.5	2	2	1.0
