Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 180 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 9 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
16	604243	-1	GameMode StaticAcuity HideFlag True JumpFlag False ShowTargetFlag True HeadIndicatorChange False SkipCenterFlag True HideHeadIndicator True Gain 1 UsingAcuityAfter False UsingAcuityBefore False UsingAcuityWaitTime True AcuitySize 8 UsingAcuityChange True CurrAcuityChangeMode acuity_list UsingPostDelay False PostDelayMode random PostDelayInit 0.00 PostDelayIMax 0.00 ADUsingStaticData False UsingPresetSD False StaticDataSize 0 StaticDataMLH 0.000 UsingDynamicDelay False DynamicDelayMode fix_amount DynaDelayInit 0.000 DynaDelayMax 0.000 DynaDelayInter 0.000 	
3	326	604541	0	ReSet	0.00	0
4	332	604547	0	ShowTarget	0.00	0
5	1861	606014	0	MoveTarget	0.00	1
6	1874	606027	0	ShowTarget	0.00	1
7	2090	606234	0	TargetHided	0.00	1
8	2091	606236	0	ChangeTargetWaitTime	0.00	1
9	3564	607650	0	ShowTarget	0.00	1
10	4930	608961	0	MoveTarget	0.00	1
11	4951	608981	0	ShowTarget	0.00	1
12	5159	609180	0	TargetHided	0.00	1
13	5159	609180	0	ChangeTargetWaitTime	0.00	1
14	6888	610841	0	ShowTarget	0.00	1
15	8375	612268	0	MoveTarget	0.00	1
16	8388	612280	0	ShowTarget	0.00	1
17	8597	612481	0	TargetHided	0.00	1
18	8597	612481	0	ChangeTargetWaitTime	0.00	1
19	10035	613860	0	ShowTarget	0.00	1
20	11847	615601	0	MoveTarget	0.00	1
21	11862	615614	0	ShowTarget	0.00	1
22	12083	615827	0	TargetHided	0.00	1
23	12083	615827	0	ChangeTargetWaitTime	0.00	1
24	13521	617208	0	ShowTarget	0.00	1
25	15271	618887	0	MoveTarget	0.00	1
26	15285	618901	0	ShowTarget	0.00	1
27	15493	619101	0	TargetHided	0.00	1
28	15493	619101	0	ChangeTargetWaitTime	0.00	1
29	16972	620520	0	ShowTarget	0.00	1
30	18987	622454	0	MoveTarget	0.00	1
31	19000	622467	0	ShowTarget	0.00	1
32	19230	622688	0	TargetHided	0.00	1
33	19230	622688	0	ChangeTargetWaitTime	0.00	1
34	21369	624741	0	ShowTarget	0.00	1
35	22882	626194	0	MoveTarget	0.00	1
36	22903	626214	0	ShowTarget	0.00	1
37	23111	626414	0	TargetHided	0.00	1
38	23111	626414	0	ChangeTargetWaitTime	0.00	1
39	24723	627960	0	ShowTarget	0.00	1
40	26535	629700	0	MoveTarget	0.00	1
41	26549	629713	0	ShowTarget	0.00	1
42	26757	629914	0	TargetHided	0.00	1
43	26758	629914	0	ChangeTargetWaitTime	0.00	1
44	28758	631834	0	ShowTarget	0.00	1
45	30425	633434	0	MoveTarget	0.00	1
46	30438	633447	0	ShowTarget	0.00	1
47	30660	633660	0	TargetHided	0.00	1
48	30660	633660	0	ChangeTargetWaitTime	0.00	1
49	32064	635007	0	ShowTarget	0.00	1
50	33515	636400	0	MoveTarget	0.00	1
51	33529	636414	0	ShowTarget	0.00	1
52	33737	636613	0	TargetHided	0.00	1
53	33737	636613	0	ChangeTargetWaitTime	0.00	1
54	36224	639001	0	ShowTarget	0.00	1
55	37272	640007	0	MoveTarget	0.00	1
56	37286	640020	0	ShowTarget	0.00	1
57	37501	640227	0	TargetHided	0.00	1
58	37501	640227	0	ChangeTargetWaitTime	0.00	1
59	39001	641667	0	ShowTarget	0.00	1
60	40939	643527	0	MoveTarget	0.00	1
61	40953	643540	0	ShowTarget	0.00	1
62	41161	643740	0	TargetHided	0.00	1
63	41161	643740	0	ChangeTargetWaitTime	0.00	1
64	43133	645633	0	ShowTarget	0.00	1
65	44286	646740	0	MoveTarget	0.00	1
66	44300	646753	0	ShowTarget	0.00	1
67	44509	646953	0	TargetHided	0.00	1
68	44509	646953	0	ChangeTargetWaitTime	0.00	1
69	45968	648354	0	ShowTarget	0.00	1
70	47676	649993	0	MoveTarget	0.00	1
71	47689	650007	0	ShowTarget	0.00	1
72	47912	650220	0	TargetHided	0.00	1
73	47912	650220	0	ChangeTargetWaitTime	0.00	1
74	49926	652154	0	ShowTarget	0.00	1
75	51683	653840	0	MoveTarget	0.00	1
76	51696	653853	0	ShowTarget	0.00	1
77	51905	654054	0	TargetHided	0.00	1
78	51905	654054	0	ChangeTargetWaitTime	0.00	1
79	53399	655487	0	ShowTarget	0.00	1
80	55232	657247	0	MoveTarget	0.00	1
81	55246	657260	0	ShowTarget	0.00	1
82	55468	657474	0	TargetHided	0.00	1
83	55468	657474	0	ChangeTargetWaitTime	0.00	1
84	56968	658913	0	ShowTarget	0.00	1
85	58530	660413	0	MoveTarget	0.00	1
86	58544	660427	0	ShowTarget	0.00	1
87	58752	660626	0	TargetHided	0.00	1
88	58753	660626	0	ChangeTargetWaitTime	0.00	1
89	60183	662000	0	ShowTarget	0.00	1
90	62079	663820	0	MoveTarget	0.00	1
91	62093	663833	0	ShowTarget	0.00	1
92	62316	664047	0	TargetHided	0.00	1
93	62316	664047	0	ChangeTargetWaitTime	0.00	1
94	63719	665394	0	ShowTarget	0.00	1
95	64947	666573	0	MoveTarget	0.00	1
96	64961	666586	0	ShowTarget	0.00	1
97	65163	666780	0	TargetHided	0.00	1
98	65163	666780	0	ChangeTargetWaitTime	0.00	1
99	66615	668174	0	ShowTarget	0.00	1
100	67774	669286	0	MoveTarget	0.00	1
101	67795	669306	0	ShowTarget	0.00	1
102	68003	669506	0	TargetHided	0.00	1
103	68003	669507	0	ChangeTargetWaitTime	0.00	1
104	69746	671180	0	ShowTarget	0.00	1
105	71011	672394	0	MoveTarget	0.00	1
106	71024	672407	0	ShowTarget	0.00	1
107	71232	672606	0	TargetHided	0.00	1
108	71232	672606	0	ChangeTargetWaitTime	0.00	1
109	72677	673993	0	ShowTarget	0.00	1
110	74532	675773	0	MoveTarget	0.00	1
111	74552	675793	0	ShowTarget	0.00	1
112	74767	676000	0	TargetHided	0.00	1
113	74768	676000	0	ChangeTargetWaitTime	0.00	1
114	76149	677326	0	ShowTarget	0.00	1
115	77497	678620	0	MoveTarget	0.00	1
116	77517	678640	0	ShowTarget	0.00	1
117	77733	678846	0	TargetHided	0.00	1
118	77733	678846	0	ChangeTargetWaitTime	0.00	1
119	79226	680279	0	ShowTarget	0.00	1
120	80830	681820	0	MoveTarget	0.00	1
121	80844	681833	0	ShowTarget	0.00	1
122	81066	682046	0	TargetHided	0.00	1
123	81066	682046	0	ChangeTargetWaitTime	0.00	1
124	82497	683420	0	ShowTarget	0.00	1
125	84240	685093	0	MoveTarget	0.00	1
126	84254	685106	0	ShowTarget	0.00	1
127	84455	685300	0	TargetHided	0.00	1
128	84455	685300	0	ChangeTargetWaitTime	0.00	1
129	86998	687740	0	ShowTarget	0.00	1
130	88255	688947	0	MoveTarget	0.00	1
131	88268	688959	0	ShowTarget	0.00	1
132	88476	689159	0	TargetHided	0.00	1
133	88476	689160	0	ChangeTargetWaitTime	0.00	1
134	89914	690540	0	ShowTarget	0.00	1
135	91102	691679	0	MoveTarget	0.00	1
136	91115	691693	0	ShowTarget	0.00	1
137	91338	691906	0	TargetHided	0.00	1
138	91338	691906	0	ChangeTargetWaitTime	0.00	1
139	92797	693307	0	ShowTarget	0.00	1
140	94234	694686	0	MoveTarget	0.00	1
141	94248	694699	0	ShowTarget	0.00	1
142	94456	694899	0	TargetHided	0.00	1
143	94456	694899	0	ChangeTargetWaitTime	0.00	1
144	95873	696259	0	ShowTarget	0.00	1
145	96949	697293	0	MoveTarget	0.00	1
146	96964	697307	0	ShowTarget	0.00	1
147	97186	697520	0	TargetHided	0.00	1
148	97186	697520	0	ChangeTargetWaitTime	0.00	1
