Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 20 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 9 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
16	1042899	-1	GameMode DynamicAcuity HideFlag False JumpFlag False ShowTargetFlag True HeadIndicatorChange True SkipCenterFlag True HideHeadIndicator False Gain 1 UsingAcuityAfter False UsingAcuityBefore True UsingAcuityWaitTime False AcuitySize 1 UsingAcuityChange False CurrAcuityChangeMode acuity_list UsingPostDelay False PostDelayMode random PostDelayInit 0.00 PostDelayIMax 0.00 ADUsingStaticData False UsingPresetSD False StaticDataSize 0 StaticDataMLH 0.000 UsingDynamicDelay True DynamicDelayMode fix_amount DynaDelayInit 0.000 DynaDelayMax 0.560 DynaDelayInter 0.080 	
3	291	1043163	0	ReSet	0.00	0
4	305	1043177	0	ShowTarget	0.00	0
5	1521	1044343	0	MoveTarget	0.00	1
6	1534	1044356	0	ShowTarget	0.00	1
7	1895	1044703	0	head_turned	0.00	0
8	2166	1044963	0	head_stop	0.00	0
9	2772	1045545	0	ShowTarget	0.00	1
10	5430	1048096	0	MoveTarget	0.00	1
11	5451	1048116	0	ShowTarget	0.00	1
12	5722	1048376	0	head_turned	0.00	0
13	6277	1048909	0	head_stop	0.00	0
14	6708	1049323	0	ShowTarget	0.00	1
15	8812	1051342	0	MoveTarget	0.00	1
16	8833	1051362	0	ShowTarget	0.00	1
17	9118	1051636	0	head_turned	0.00	0
18	9555	1052056	0	head_stop	0.00	0
19	9930	1052416	0	ShowTarget	0.00	1
20	12056	1054456	0	MoveTarget	0.00	1
21	12069	1054469	0	ShowTarget	0.00	1
22	12306	1054696	0	head_turned	0.00	0
23	12813	1055183	0	head_stop	0.00	0
24	13098	1055457	0	ShowTarget	0.00	1
25	15048	1057329	0	MoveTarget	0.00	1
26	15062	1057343	0	ShowTarget	0.00	1
27	15305	1057576	0	head_turned	0.00	0
28	15819	1058069	0	head_stop	0.00	0
29	16195	1058430	0	ShowTarget	0.00	1
30	18445	1060589	0	MoveTarget	0.00	1
31	18458	1060602	0	ShowTarget	0.00	1
32	18750	1060882	0	head_turned	0.00	0
33	19285	1061396	0	head_stop	0.00	0
34	19806	1061896	0	ShowTarget	0.00	1
35	22375	1064362	0	MoveTarget	0.00	1
36	22396	1064382	0	ShowTarget	0.00	1
37	22660	1064636	0	head_turned	0.00	0
38	23070	1065029	0	head_stop	0.00	0
39	23507	1065449	0	ShowTarget	0.00	1
40	26209	1068042	0	MoveTarget	0.00	1
41	26223	1068056	0	ShowTarget	0.00	1
42	26466	1068289	0	head_turned	0.00	0
43	26786	1068597	0	head_stop	0.00	0
44	27313	1069102	0	ShowTarget	0.00	1
45	29390	1071096	0	MoveTarget	0.00	1
46	29411	1071116	0	ShowTarget	0.00	1
47	29716	1071409	0	head_turned	0.00	0
48	30244	1071916	0	head_stop	0.00	0
49	30626	1072283	0	ShowTarget	0.00	1
50	33362	1074909	0	MoveTarget	0.00	1
51	33383	1074929	0	ShowTarget	0.00	1
52	33633	1075169	0	head_turned	0.00	0
53	34195	1075709	0	head_stop	0.00	0
54	34557	1076056	0	ShowTarget	0.00	1
55	36855	1078262	0	MoveTarget	0.00	1
56	36869	1078275	0	ShowTarget	0.00	1
57	37105	1078502	0	head_turned	0.00	0
58	37404	1078789	0	head_stop	0.00	0
59	38022	1079382	0	ShowTarget	0.00	1
60	40453	1081716	0	MoveTarget	0.00	1
61	40467	1081729	0	ShowTarget	0.00	1
62	40633	1081889	0	head_turned	0.00	0
63	40911	1082155	0	head_stop	0.00	0
64	41564	1082782	0	ShowTarget	0.00	1
65	44043	1085162	0	MoveTarget	0.00	1
66	44057	1085175	0	ShowTarget	0.00	1
67	44279	1085389	0	head_turned	0.00	0
68	44863	1085949	0	head_stop	0.00	0
69	45217	1086289	0	ShowTarget	0.00	1
70	47259	1088249	0	MoveTarget	0.00	1
71	47272	1088262	0	ShowTarget	0.00	1
72	47523	1088502	0	head_turned	0.00	0
73	48127	1089082	0	head_stop	0.00	0
74	48536	1089475	0	ShowTarget	0.00	1
75	53683	1094415	0	MoveTarget	0.00	1
76	53696	1094428	0	ShowTarget	0.00	1
77	53946	1094669	0	head_turned	0.00	0
78	54523	1095222	0	head_stop	0.00	0
79	54912	1095595	0	ShowTarget	0.00	1
80	57002	1097602	0	MoveTarget	0.00	1
81	57023	1097622	0	ShowTarget	0.00	1
82	57252	1097842	0	head_turned	0.00	0
83	57912	1098475	0	head_stop	0.00	0
84	58169	1098722	0	ShowTarget	0.00	1
85	60322	1100789	0	MoveTarget	0.00	1
86	60336	1100802	0	ShowTarget	0.00	1
87	60565	1101022	0	head_turned	0.00	0
88	61191	1101622	0	head_stop	0.00	0
89	61482	1101902	0	ShowTarget	0.00	1
90	63406	1103749	0	MoveTarget	0.00	1
91	63419	1103762	0	ShowTarget	0.00	1
92	63655	1103988	0	head_turned	0.00	0
93	64287	1104595	0	head_stop	0.00	0
94	65261	1105529	0	ShowTarget	0.00	1
95	67774	1107942	0	MoveTarget	0.00	1
96	67795	1107962	0	ShowTarget	0.00	1
97	68024	1108182	0	head_turned	0.00	0
98	68308	1108455	0	head_stop	0.00	0
99	69288	1109395	0	ShowTarget	0.00	1
100	71218	1111248	0	MoveTarget	0.00	1
