Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 180 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 5 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
9	54930	-1	GameMode DynamicAcuity HideFlag False JumpFlag False ShowTargetFlag True HeadIndicatorChange True SkipCenterFlag True HideHeadIndicator False Gain 1 UsingAcuityAfter False UsingAcuityBefore True UsingAcuityWaitTime False AcuitySize 2 UsingAcuityChange False CurrAcuityChangeMode acuity_list UsingPostDelay False PostDelayMode random PostDelayInit 0.00 PostDelayIMax 0.00 ADUsingStaticData False UsingPresetSD False StaticDataSize 0 StaticDataMLH 0.000 DynamicDelayMode fix_amount DynaDelayInit 0.000 DynaDelayMax 0.480 DynaDelayInter 0.080 	
3	144	55060	0	ReSet	0.00	0
4	159	55073	0	ShowTarget	0.00	0
5	1506	56366	0	MoveTarget	0.00	1
6	1519	56380	0	ShowTarget	0.00	1
7	1978	56820	0	ErrorOccurred	0.00	1
8	3986	58746	0	ErrorReturn	0.00	1
9	5763	60453	0	MoveTarget	0.00	1
10	5777	60466	0	ShowTarget	0.00	1
11	6353	61019	0	head_stop	0.00	0
12	7362	61988	0	ShowTarget	0.00	1
13	9666	64199	0	MoveTarget	0.00	1
14	9686	64219	0	ShowTarget	0.00	1
15	10180	64693	0	head_stop	0.00	0
16	11236	65706	0	ShowTarget	0.00	1
17	12861	67267	0	MoveTarget	0.00	1
18	12875	67280	0	ShowTarget	0.00	1
19	13645	68019	0	head_stop	0.00	0
20	14528	68867	0	ShowTarget	0.00	1
21	16555	70813	0	MoveTarget	0.00	1
22	16576	70833	0	ShowTarget	0.00	1
23	17256	71486	0	head_stop	0.00	0
24	18098	72293	0	ShowTarget	0.00	1
25	20631	74726	0	MoveTarget	0.00	1
26	20645	74739	0	ShowTarget	0.00	1
27	21167	75240	0	head_stop	0.00	0
28	22090	76126	0	ShowTarget	0.00	1
29	24507	78446	0	MoveTarget	0.00	1
30	24521	78459	0	ShowTarget	0.00	1
31	25063	78979	0	head_stop	0.00	0
32	25987	79866	0	ShowTarget	0.00	1
33	27688	81500	0	MoveTarget	0.00	1
34	27702	81513	0	ShowTarget	0.00	1
35	28326	82112	0	head_stop	0.00	0
