Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 1 Camera2_display 0 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 0.5 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.1 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 3 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
16	0	-1	GameMode StaticAcuity HideFlag True JumpFlag False ShowTargetFlag False HeadIndicatorChange False SkipCenterFlag True HideHeadIndicator True Gain 1 UsingAcuityAfter False UsingAcuityBefore False UsingAcuityWaitTime True AcuitySize 5 UsingAcuityChange True CurrAcuityChangeMode acuity_list 	
3	712	0	0	ReSet	0.00	0
4	729	0	0	ShowTarget	0.00	0
5	2270	0	0	MoveTarget	0.00	1
6	2302	0	0	ShowTarget	0.00	1
7	2452	0	0	TargetHided	0.00	1
8	2459	0	0	ChangeTargetWaitTime	0.00	1
9	7819	0	0	MoveTarget	0.00	1
10	7852	0	0	ShowTarget	0.00	1
11	7984	0	0	TargetHided	0.00	1
12	7985	0	0	ChangeTargetWaitTime	0.00	1
13	12044	0	0	MoveTarget	0.00	1
14	12077	0	0	ShowTarget	0.00	1
15	12209	0	0	TargetHided	0.00	1
16	12210	0	0	ChangeTargetWaitTime	0.00	1
16119	0	-1	GameMode StaticAcuity HideFlag True JumpFlag False ShowTargetFlag False HeadIndicatorChange False SkipCenterFlag True HideHeadIndicator True Gain 1 UsingAcuityAfter False UsingAcuityBefore False UsingAcuityWaitTime True AcuitySize 5 UsingAcuityChange True CurrAcuityChangeMode acuity_list 	
17	20691	0	0	ReSet	0.00	0
18	20708	0	0	ShowTarget	0.00	1
19	22315	0	0	MoveTarget	0.00	1
20	22348	0	0	ShowTarget	0.00	1
21	22480	0	0	TargetHided	0.00	1
22	22481	0	0	ChangeTargetWaitTime	0.00	1
23	26623	0	0	MoveTarget	0.00	1
24	26655	0	0	ShowTarget	0.00	1
25	26771	0	0	TargetHided	0.00	1
26	26771	0	0	ChangeTargetWaitTime	0.00	1
27	31128	0	0	MoveTarget	0.00	1
28	31161	0	0	ShowTarget	0.00	1
29	31294	0	0	TargetHided	0.00	1
30	31294	0	0	ChangeTargetWaitTime	0.00	1

