Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.2 SpeedThreshold 180 StopWinodow 0.03 TargetChangeTime 1 TargetChangeTimeRRange 0 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.08 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 90 StopSpeed 10.00 PostDelayList 0 PostDelayNumber 5 PostDelayUpC 0.50 PostDelayLoC 0.60 PostDelayConvNum 1 PostDelayRepeatNum 2 PostDelayASOffset 0 DynaDelayRepeatNum 5 
Line_#	Time_Stamp	Simulink_Sample	Trail_#	Action	Degree	Direction
9	0	-1	GameMode StaticAcuity HideFlag True JumpFlag False ShowTargetFlag True HeadIndicatorChange False SkipCenterFlag True HideHeadIndicator True Gain 1 UsingAcuityAfter False UsingAcuityBefore False UsingAcuityWaitTime True AcuitySize 8 UsingAcuityChange True CurrAcuityChangeMode acuity_list UsingPostDelay False PostDelayMode random PostDelayInit 0.00 PostDelayIMax 0.00 ADUsingStaticData False UsingPresetSD False StaticDataSize 0 StaticDataMLH 0.000 UsingDynamicDelay True DynamicDelayMode fix_amount DynaDelayInit 0.000 DynaDelayMax 1.000 DynaDelayInter 0.100 	
3	114	0	0	ReSet	0.00	0
4	123	0	0	ShowTarget	0.00	0
5	1647	0	0	MoveTarget	0.00	1
6	1662	0	0	ShowTarget	0.00	1
7	1885	0	0	TargetHided	0.00	1
8	1886	0	0	ChangeTargetWaitTime	0.00	1
9	3377	0	0	ShowTarget	0.00	1
10	5285	0	0	MoveTarget	0.00	1
11	5301	0	0	ShowTarget	0.00	1
12	5515	0	0	TargetHided	0.00	1
13	5516	0	0	ChangeTargetWaitTime	0.00	1
14	7138	0	0	ShowTarget	0.00	1
15	8801	0	0	MoveTarget	0.00	1
16	8817	0	0	ShowTarget	0.00	1
17	9031	0	0	TargetHided	0.00	1
18	9031	0	0	ChangeTargetWaitTime	0.00	1
19	10587	0	0	ShowTarget	0.00	1
20	12358	0	0	MoveTarget	0.00	1
21	12374	0	0	ShowTarget	0.00	1
22	12588	0	0	TargetHided	0.00	1
23	12589	0	0	ChangeTargetWaitTime	0.00	1
24	13921	0	0	ShowTarget	0.00	1
25	15569	0	0	MoveTarget	0.00	1
26	15585	0	0	ShowTarget	0.00	1
27	15799	0	0	TargetHided	0.00	1
28	15800	0	0	ChangeTargetWaitTime	0.00	1
29	17306	0	0	ShowTarget	0.00	1
30	18920	0	0	MoveTarget	0.00	1
31	18936	0	0	ShowTarget	0.00	1
32	19150	0	0	TargetHided	0.00	1
33	19150	0	0	ChangeTargetWaitTime	0.00	1
34	20657	0	0	ShowTarget	0.00	1
35	21983	0	0	MoveTarget	0.00	1
36	22000	0	0	ShowTarget	0.00	1
37	22213	0	0	TargetHided	0.00	1
38	22213	0	0	ChangeTargetWaitTime	0.00	1
39	23622	0	0	ShowTarget	0.00	1
40	25318	0	0	MoveTarget	0.00	1
41	25334	0	0	ShowTarget	0.00	1
42	25548	0	0	TargetHided	0.00	1
43	25549	0	0	ChangeTargetWaitTime	0.00	1
44	26973	0	0	ShowTarget	0.00	1
45	28406	0	0	MoveTarget	0.00	1
46	28422	0	0	ShowTarget	0.00	1
47	28636	0	0	TargetHided	0.00	1
48	28638	0	0	ChangeTargetWaitTime	0.00	1
49	30455	0	0	ShowTarget	0.00	1
50	32366	0	0	MoveTarget	0.00	1
51	32382	0	0	ShowTarget	0.00	1
52	32596	0	0	TargetHided	0.00	1
