Settings: Player_screen_cm 100 Screen_width_cm 100 Camera1_display 0 Camera2_display 0 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 
8	0	-1	GameMode EyeTest HideFlag True JumpFlag False ShowTargetFlag True HeadIndicatorChange False SkipCenterFlag True HideHeadIndicator True Gain 1 	
25	0	0	ReSet	0.00	0
32	0	0	ShowTarget	0.00	0
2875	0	0	MoveTarget	10.00	1
2889	0	0	ShowTarget	10.00	1
3013	0	0	TargetHided	10.00	1
3013	0	0	ChangeTargetWaitTime	10.00	1
5058	0	1	MoveTarget	10.00	0
5073	0	1	ShowTarget	10.00	0
5181	0	1	TargetHided	10.00	0
5181	0	1	ChangeTargetWaitTime	10.00	0
7238	0	0	MoveTarget	10.00	1
7254	0	0	ShowTarget	10.00	1
7364	0	0	TargetHided	10.00	1
7364	0	0	ChangeTargetWaitTime	10.00	1
9658	0	1	MoveTarget	10.00	0
9673	0	1	ShowTarget	10.00	0
9780	0	1	TargetHided	10.00	0
9780	0	1	ChangeTargetWaitTime	10.00	0
11828	0	0	MoveTarget	10.00	1
11841	0	0	ShowTarget	10.00	1
11949	0	0	TargetHided	10.00	1
11949	0	0	ChangeTargetWaitTime	10.00	1
14000	0	1	MoveTarget	10.00	0
14014	0	1	ShowTarget	10.00	0
14135	0	1	TargetHided	10.00	0
14135	0	1	ChangeTargetWaitTime	10.00	0
16181	0	0	MoveTarget	10.00	1
16194	0	0	ShowTarget	10.00	1
16307	0	0	TargetHided	10.00	1
16308	0	0	ChangeTargetWaitTime	10.00	1
18357	0	1	MoveTarget	10.00	0
18372	0	1	ShowTarget	10.00	0
18497	0	1	TargetHided	10.00	0
18497	0	1	ChangeTargetWaitTime	10.00	0
20541	0	0	MoveTarget	10.00	1
20556	0	0	ShowTarget	10.00	1
20668	0	0	TargetHided	10.00	1
20668	0	0	ChangeTargetWaitTime	10.00	1
22718	0	1	MoveTarget	10.00	0
22731	0	1	ShowTarget	10.00	0
22842	0	1	TargetHided	10.00	0
22842	0	1	ChangeTargetWaitTime	10.00	0
24894	0	0	MoveTarget	10.00	1
24910	0	0	ShowTarget	10.00	1
25020	0	0	TargetHided	10.00	1
25020	0	0	ChangeTargetWaitTime	10.00	1
27067	0	1	MoveTarget	10.00	0
27081	0	1	ShowTarget	10.00	0
27192	0	1	TargetHided	10.00	0
27192	0	1	ChangeTargetWaitTime	10.00	0

