Settings: Player_screen_cm 100 Screen_width_cm 100 Camera1_display 0 Camera2_display 0 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 
8	0	-1	GameMode GazeTest HideFlag True JumpFlag False ShowTargetFlag False HeadIndicatorChange False SkipCenterFlag True HideHeadIndicator True Gain 1 	
28	0	0	ReSet	0.00	0
40	0	0	ShowTarget	0.00	0
3419	0	0	MoveTarget	10.00	1
3441	0	0	ShowTarget	10.00	1
3585	0	0	TargetHided	10.00	1
6187	0	1	MoveTarget	10.00	0
6208	0	1	ShowTarget	10.00	0
6341	0	1	TargetHided	10.00	0
11396	0	0	MoveTarget	10.00	1
11419	0	0	ShowTarget	10.00	1
11552	0	0	TargetHided	10.00	1
14796	0	1	MoveTarget	10.00	0
14818	0	1	ShowTarget	10.00	0
14951	0	1	TargetHided	10.00	0
18307	0	0	MoveTarget	10.00	1
18329	0	0	ShowTarget	10.00	1
18465	0	0	TargetHided	10.00	1
20995	0	1	MoveTarget	10.00	0
21017	0	1	ShowTarget	10.00	0
21150	0	1	TargetHided	10.00	0
23606	0	0	MoveTarget	10.00	1
23630	0	0	ShowTarget	10.00	1
23761	0	0	TargetHided	10.00	1
26394	0	1	MoveTarget	10.00	0
26416	0	1	ShowTarget	10.00	0
26549	0	1	TargetHided	10.00	0
28852	0	0	MoveTarget	10.00	1
28882	0	0	ShowTarget	10.00	1
29005	0	0	TargetHided	10.00	1

32091	0	1	MoveTarget	10.00	0
32105	0	1	ShowTarget	10.00	0
32237	0	1	TargetHided	10.00	0
39649	0	0	MoveTarget	10.00	1
39670	0	0	ShowTarget	10.00	1
39804	0	0	TargetHided	10.00	1
48791	0	1	MoveTarget	10.00	0
48812	0	1	ShowTarget	10.00	0
48947	0	1	TargetHided	10.00	0
53025	0	0	MoveTarget	10.00	1
53046	0	0	ShowTarget	10.00	1
53179	0	0	TargetHided	10.00	1
57612	0	1	MoveTarget	10.00	0
57634	0	1	ShowTarget	10.00	0
57768	0	1	TargetHided	10.00	0

