Settings: Player_screen_cm 100 Screen_width_cm 100 Camera1_display 0 Camera2_display 0 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 
8	0	-1	GameMode Default HideFlag False JumpFlag False ShowTargetFlag False HeadIndicatorChange False SkipCenterFlag False HideHeadIndicator False Gain 1 	
5041	0	0	ReSet	0.00	0
5053	0	0	ShowTarget	0.00	0
6231	0	0	MoveTarget	20.00	1
6252	0	0	ShowTarget	20.00	1
9264	0	1	ReSet	0.00	0
9275	0	1	ShowTarget	0.00	1

11630	0	1	MoveTarget	20.00	0
11651	0	1	ShowTarget	20.00	0
14307	0	0	ReSet	0.00	0
14318	0	0	ShowTarget	0.00	0
16285	0	0	MoveTarget	20.00	1
16307	0	0	ShowTarget	20.00	1
18739	0	1	ReSet	0.00	0
18750	0	1	ShowTarget	0.00	1
20930	0	1	MoveTarget	20.00	0
20951	0	1	ShowTarget	20.00	0
23574	0	0	ReSet	0.00	0
23586	0	0	ShowTarget	0.00	0
25375	0	0	MoveTarget	20.00	1
25396	0	0	ShowTarget	20.00	1
27663	0	1	ReSet	0.00	0
27674	0	1	ShowTarget	0.00	1
30286	0	1	MoveTarget	20.00	0
30308	0	1	ShowTarget	20.00	0
33375	0	0	ReSet	0.00	0
33386	0	0	ShowTarget	0.00	0
35419	0	0	MoveTarget	20.00	1
35441	0	0	ShowTarget	20.00	1
37652	0	1	ReSet	0.00	0
37663	0	1	ShowTarget	0.00	1
40353	0	1	MoveTarget	20.00	0
40375	0	1	ShowTarget	20.00	0
43220	0	0	ReSet	0.00	0
43230	0	0	ShowTarget	0.00	0

