HideFlag False JumpFlag False ShowTargetFlag False HeadIndicatorChange False SkipCenterFlag False Loop_trial_flag True GazeTime 2 RandomGazeTime 0 HideTime 0.1 SpeedThreshold 0 StopWinodow 0.1 Player_screen_cm 50 Screen_width_cm 40 Camera1_display 0 Camera2_display 1 Loop_number -1 Gain 1 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(7.6469, 0.8570, -1.5456)	(0.0002, -0.0054, -0.0193, -0.9998)	1	1
1	(8.3799, 1.0371, -1.7344)	(-0.0007, -0.0055, -0.0191, -0.9998)	1	2
2	(7.0403, -1.0672, -0.4696)	(-0.0011, -0.0051, -0.0193, -0.9998)	9	11
3	(6.8601, 0.5294, 0.3454)	(-0.0018, -0.0055, -0.0194, -0.9998)	11	22
4	(6.3676, -0.2714, -0.4207)	(-0.0023, -0.0053, -0.0193, -0.9998)	11	33
5	(6.8647, -1.9199, -0.4519)	(-0.0029, -0.0050, -0.0193, -0.9998)	11	44
6	(5.4585, -0.3088, 0.8526)	(-0.0032, -0.0053, -0.0196, -0.9998)	11	56
7	(5.0346, -2.3072, 1.3804)	(-0.0035, -0.0048, -0.0199, -0.9998)	11	67
8	(1.8669, -2.3444, 2.7920)	(-0.0032, -0.0046, -0.0203, -0.9998)	11	78
9	(-0.8039, -3.8400, 4.2315)	(-0.0028, -0.0039, -0.0210, -0.9998)	11	89
10	(-5.9239, -5.7289, 4.5306)	(-0.0015, -0.0031, -0.0215, -0.9998)	11	100
11	(-10.9289, -5.0475, 5.3839)	(0.0003, -0.0027, -0.0221, -0.9998)	11	111
12	(-16.4201, -6.7332, 3.6664)	(0.0026, -0.0017, -0.0221, -0.9998)	11	122
13	(-18.1256, -7.8909, 3.6948)	(0.0046, -0.0007, -0.0225, -0.9997)	11	133
14	(-22.8193, -9.0090, 3.0618)	(0.0076, 0.0003, -0.0226, -0.9997)	11	144
15	(-26.0592, -8.3341, 0.5064)	(0.0106, 0.0011, -0.0223, -0.9997)	11	155
16	(-33.5659, -7.9923, -0.2107)	(0.0149, 0.0019, -0.0221, -0.9996)	11	167
17	(-41.9310, -7.1411, -2.5143)	(0.0201, 0.0027, -0.0215, -0.9996)	11	178
18	(-49.2000, -6.8990, -4.9977)	(0.0259, 0.0035, -0.0206, -0.9994)	11	189
19	(-56.3387, -7.2336, -6.0626)	(0.0323, 0.0044, -0.0199, -0.9993)	11	200
20	(-59.8777, -6.5698, -6.1285)	(0.0386, 0.0050, -0.0193, -0.9991)	11	211
21	(-66.0458, -5.3828, -7.2898)	(0.0460, 0.0056, -0.0185, -0.9988)	11	222
22	(-75.2557, -6.7376, -7.4814)	(0.0544, 0.0067, -0.0178, -0.9983)	16	238
23	(-78.1880, -5.9605, -7.9118)	(0.0624, 0.0074, -0.0169, -0.9979)	7	244
