Player_screen_cm 100 Screen_width_cm 100 Camera1_display 0 Camera2_display 0 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(5.6983, -3.0975, -0.3834)	(0.0044, 0.0027, 0.0129, -0.9999)	1	2
1	(4.6053, -3.4465, 0.2333)	(0.0041, 0.0031, 0.0128, -0.9999)	4	6
2	(3.9945, -3.9240, 0.9712)	(0.0037, 0.0036, 0.0126, -0.9999)	12	18
3	(4.9718, -2.9509, 0.6455)	(0.0031, 0.0038, 0.0127, -0.9999)	11	29
4	(3.0794, -3.0879, 0.2305)	(0.0031, 0.0041, 0.0127, -0.9999)	11	40
5	(3.6241, -3.5876, -0.4303)	(0.0027, 0.0046, 0.0128, -0.9999)	11	51
6	(2.7144, -4.3153, -0.4130)	(0.0025, 0.0050, 0.0128, -0.9999)	11	62
7	(1.7951, -4.1569, -1.2658)	(0.0025, 0.0053, 0.0130, -0.9999)	11	73
8	(0.5153, -3.0433, -0.4893)	(0.0027, 0.0053, 0.0129, -0.9999)	11	84
9	(0.5678, -1.8451, -1.4919)	(0.0026, 0.0053, 0.0131, -0.9999)	11	95
10	(-0.0329, -1.7662, -0.6965)	(0.0027, 0.0055, 0.0131, -0.9999)	11	106
11	(0.0310, -1.8215, -0.3352)	(0.0027, 0.0056, 0.0131, -0.9999)	11	117
12	(0.4445, -0.1237, -0.7310)	(0.0027, 0.0056, 0.0132, -0.9999)	11	128
13	(0.6884, 0.9064, -0.7525)	(0.0027, 0.0055, 0.0133, -0.9999)	11	139
14	(0.2570, 0.7011, -1.7825)	(0.0027, 0.0054, 0.0135, -0.9999)	16	156
15	(0.2524, 2.7156, -1.5199)	(0.0027, 0.0051, 0.0137, -0.9999)	8	163
16	(0.9253, 2.1749, -1.1449)	(0.0027, 0.0050, 0.0137, -0.9999)	10	173
17	(-0.1044, 1.5761, -0.7065)	(0.0028, 0.0049, 0.0137, -0.9999)	11	184
18	(-0.7138, 2.9334, 0.1832)	(0.0029, 0.0045, 0.0137, -0.9999)	11	195
19	(-2.1200, 3.1662, -0.3665)	(0.0033, 0.0041, 0.0138, -0.9999)	11	206
20	(-0.4133, 2.9595, -1.5858)	(0.0031, 0.0039, 0.0140, -0.9999)	11	217
21	(-1.0233, 3.3681, -2.2616)	(0.0034, 0.0035, 0.0143, -0.9999)	11	228
22	(-2.4251, 1.7676, -2.8945)	(0.0038, 0.0036, 0.0147, -0.9999)	11	239
23	(-2.5505, 3.4049, -3.4134)	(0.0042, 0.0029, 0.0152, -0.9999)	11	250
24	(-2.4311, 3.5175, -3.7821)	(0.0044, 0.0026, 0.0156, -0.9999)	11	261
25	(-3.2903, 5.4674, -3.8189)	(0.0048, 0.0019, 0.0160, -0.9999)	11	272
26	(-2.5553, 5.2287, -3.5130)	(0.0050, 0.0015, 0.0163, -0.9999)	11	284
27	(-2.7987, 4.8878, -2.2870)	(0.0052, 0.0011, 0.0164, -0.9999)	11	295
28	(-1.9429, 4.8483, -1.4935)	(0.0053, 0.0007, 0.0165, -0.9999)	11	306
29	(-2.7346, 5.7775, -0.5375)	(0.0058, -0.0001, 0.0164, -0.9998)	11	317
30	(-1.6945, 5.6185, 0.5496)	(0.0058, -0.0006, 0.0162, -0.9999)	11	328
31	(-1.0233, 4.8762, -0.2211)	(0.0058, -0.0009, 0.0163, -0.9999)	11	339
32	(-0.2915, 4.6668, 1.4799)	(0.0058, -0.0013, 0.0159, -0.9999)	11	350
33	(-0.1116, 5.2504, 0.3693)	(0.0058, -0.0020, 0.0160, -0.9999)	11	361
34	(-0.2904, 3.8016, 0.8910)	(0.0059, -0.0021, 0.0159, -0.9999)	11	372
35	(-0.7162, 4.2193, 0.6378)	(0.0059, -0.0025, 0.0159, -0.9999)	11	383
36	(0.0757, 3.7930, 0.4610)	(0.0058, -0.0028, 0.0159, -0.9999)	11	394
37	(0.8082, 2.7133, 1.3330)	(0.0057, -0.0029, 0.0158, -0.9999)	11	405
38	(-1.0782, 1.6424, -0.2187)	(0.0059, -0.0029, 0.0159, -0.9999)	11	417
39	(0.4419, 1.4720, 0.0262)	(0.0058, -0.0030, 0.0159, -0.9999)	11	428
40	(-0.8307, 0.7761, -0.8713)	(0.0059, -0.0031, 0.0161, -0.9998)	11	439
41	(-0.5259, -0.4550, -2.0029)	(0.0059, -0.0030, 0.0163, -0.9998)	11	450
42	(-0.2177, -1.7818, -1.4279)	(0.0059, -0.0029, 0.0165, -0.9998)	11	461
43	(0.4437, 0.2965, -0.6194)	(0.0058, -0.0029, 0.0165, -0.9998)	11	472
44	(0.0278, -0.7923, -0.6591)	(0.0059, -0.0028, 0.0166, -0.9998)	11	483
45	(1.0498, -0.0329, -1.8959)	(0.0058, -0.0027, 0.0168, -0.9998)	11	494
46	(-0.2823, -0.7991, -0.9613)	(0.0059, -0.0026, 0.0168, -0.9998)	11	506
47	(1.8492, 0.0617, -0.4357)	(0.0058, -0.0026, 0.0168, -0.9998)	11	517
48	(0.7462, 1.2238, -0.0898)	(0.0058, -0.0026, 0.0168, -0.9998)	11	528
49	(0.9294, 1.7216, 0.4374)	(0.0057, -0.0027, 0.0168, -0.9998)	11	539
50	(0.9309, 0.4852, -0.3844)	(0.0056, -0.0027, 0.0169, -0.9998)	11	550
51	(0.0259, 1.1829, 1.0001)	(0.0056, -0.0028, 0.0168, -0.9998)	11	561
52	(-0.2185, 0.3289, 0.9608)	(0.0055, -0.0029, 0.0169, -0.9998)	11	572
53	(0.5636, 1.0456, 0.1546)	(0.0055, -0.0030, 0.0169, -0.9998)	11	583
54	(-0.7751, 2.3292, 0.3100)	(0.0055, -0.0034, 0.0168, -0.9998)	11	594
55	(0.1440, 2.7227, 1.8210)	(0.0055, -0.0037, 0.0165, -0.9998)	11	606
56	(-0.2894, 3.3126, 0.7750)	(0.0056, -0.0040, 0.0165, -0.9998)	11	617
57	(-0.0379, 1.8040, 1.4168)	(0.0055, -0.0040, 0.0163, -0.9998)	11	628
58	(0.3799, 2.4211, 1.8893)	(0.0055, -0.0043, 0.0161, -0.9998)	11	639
59	(0.3236, 1.6200, 1.3565)	(0.0054, -0.0044, 0.0160, -0.9998)	11	650
60	(1.2345, 2.4914, 2.1886)	(0.0052, -0.0047, 0.0156, -0.9999)	11	661
61	(0.6907, 1.8112, 1.7177)	(0.0052, -0.0048, 0.0156, -0.9999)	11	672
62	(0.9943, 2.1854, 2.0753)	(0.0051, -0.0051, 0.0153, -0.9999)	11	683
63	(0.0254, 2.6846, 2.7374)	(0.0051, -0.0054, 0.0150, -0.9999)	11	694
64	(1.0513, 2.5523, 2.3710)	(0.0049, -0.0056, 0.0148, -0.9999)	11	706
65	(1.6657, 1.6280, 1.6556)	(0.0048, -0.0057, 0.0147, -0.9999)	11	717
66	(1.9097, 0.7231, 2.1593)	(0.0047, -0.0057, 0.0145, -0.9999)	11	728
67	(1.9756, 1.3211, 4.4639)	(0.0044, -0.0060, 0.0136, -0.9999)	11	739
68	(3.3827, -0.3969, 3.5219)	(0.0039, -0.0057, 0.0134, -0.9999)	11	750
69	(3.3200, -1.0817, 2.8036)	(0.0037, -0.0055, 0.0132, -0.9999)	11	761
70	(5.2140, -1.8678, 2.8711)	(0.0028, -0.0051, 0.0128, -0.9999)	11	772
71	(3.0811, -2.1266, 2.3964)	(0.0029, -0.0049, 0.0128, -0.9999)	11	783
72	(3.6860, -1.6575, 1.5328)	(0.0024, -0.0047, 0.0127, -0.9999)	11	795
73	(3.3792, -1.5040, 0.1405)	(0.0021, -0.0045, 0.0129, -0.9999)	11	806
74	(2.8316, -2.5974, 0.1642)	(0.0019, -0.0042, 0.0129, -0.9999)	11	817
75	(2.5859, -1.5293, -1.0179)	(0.0017, -0.0043, 0.0130, -0.9999)	11	828
76	(1.6019, 0.4887, -0.2605)	(0.0017, -0.0045, 0.0129, -0.9999)	11	839
77	(0.4437, 0.9278, 0.2775)	(0.0017, -0.0045, 0.0129, -0.9999)	11	850
78	(-0.0374, 0.5547, -0.0168)	(0.0017, -0.0046, 0.0129, -0.9999)	11	861
79	(0.2031, 0.1748, -0.6791)	(0.0017, -0.0046, 0.0129, -0.9999)	11	872
