Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 0 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 2 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(-4.4422, 0.8044, 0.6891)	(-0.0002, -0.0028, -0.0124, 0.9999)	2	5
1	(-4.7430, -0.9047, -0.0020)	(-0.0007, -0.0032, -0.0125, 0.9999)	10	15
2	(-3.9524, -0.1619, 0.7072)	(-0.0008, -0.0031, -0.0124, 0.9999)	10	25
3	(-3.2192, -0.5450, -0.1339)	(-0.0009, -0.0031, -0.0125, 0.9999)	9	34
4	(-2.5510, 0.9286, 0.4980)	(-0.0010, -0.0028, -0.0124, 0.9999)	12	45
5	(-2.6089, 1.6107, 1.0908)	(-0.0013, -0.0026, -0.0122, 0.9999)	11	56
6	(-2.4257, 2.0433, 1.5106)	(-0.0015, -0.0024, -0.0120, 0.9999)	11	67
7	(-3.7745, 1.7771, 0.3644)	(-0.0020, -0.0023, -0.0121, 0.9999)	11	78
8	(-4.6290, 1.5187, -0.1714)	(-0.0027, -0.0021, -0.0121, 0.9999)	11	89
9	(-4.2620, 1.8979, 0.4206)	(-0.0030, -0.0018, -0.0119, 0.9999)	11	100
10	(-4.8740, 3.0364, -0.3843)	(-0.0037, -0.0013, -0.0121, 0.9999)	11	110
11	(-5.0536, 1.6383, -0.1725)	(-0.0042, -0.0014, -0.0121, 0.9999)	11	121
12	(-4.5056, 2.4304, -0.3732)	(-0.0045, -0.0011, -0.0121, 0.9999)	11	132
13	(-4.5665, 1.1360, -0.9533)	(-0.0049, -0.0011, -0.0123, 0.9999)	11	143
14	(-4.5067, 2.5416, -0.7987)	(-0.0054, -0.0006, -0.0124, 0.9999)	11	154
15	(-3.4124, 1.7214, -2.3070)	(-0.0054, -0.0006, -0.0127, 0.9999)	11	165
16	(-3.1638, 1.3040, -1.7559)	(-0.0056, -0.0005, -0.0127, 0.9999)	11	176
17	(-2.4303, 1.5548, -1.5801)	(-0.0057, -0.0003, -0.0128, 0.9999)	11	187
18	(-2.1847, 0.1674, -0.8835)	(-0.0058, -0.0004, -0.0129, 0.9999)	11	199
19	(-1.3951, 0.5924, -1.1347)	(-0.0059, -0.0002, -0.0130, 0.9999)	11	210
20	(-0.7823, 0.8334, -1.1413)	(-0.0060, -0.0001, -0.0131, 0.9999)	11	221
21	(-0.5398, -0.0239, -1.3708)	(-0.0061, -0.0001, -0.0132, 0.9999)	11	232
22	(0.4904, 0.5227, -1.5679)	(-0.0061, -0.0001, -0.0133, 0.9999)	11	243
23	(-1.0816, -0.2335, -0.1465)	(-0.0063, -0.0001, -0.0132, 0.9999)	11	254
24	(0.2524, 1.1202, 0.7319)	(-0.0062, 0.0000, -0.0132, 0.9999)	11	265
25	(2.6354, -0.4587, 0.6309)	(-0.0058, 0.0000, -0.0131, 0.9999)	11	276
26	(2.3867, 0.1997, 0.3781)	(-0.0057, 0.0001, -0.0131, 0.9999)	11	287
27	(2.3870, -0.4163, -0.3360)	(-0.0054, 0.0000, -0.0131, 0.9999)	11	298
28	(3.1169, 1.2889, -0.1266)	(-0.0049, 0.0003, -0.0131, 0.9999)	11	309
29	(2.9352, 0.5551, -0.1742)	(-0.0046, 0.0003, -0.0131, 0.9999)	11	321
30	(2.6884, 0.6749, -0.1759)	(-0.0044, 0.0004, -0.0132, 0.9999)	11	332
31	(2.5630, 1.3058, -2.0130)	(-0.0040, 0.0005, -0.0135, 0.9999)	11	343
32	(3.0552, -0.4450, -1.7389)	(-0.0037, 0.0003, -0.0136, 0.9999)	11	354
33	(1.2870, 0.8320, -1.3304)	(-0.0038, 0.0004, -0.0137, 0.9999)	11	365
34	(2.2643, -0.6958, -1.9146)	(-0.0034, 0.0002, -0.0139, 0.9999)	11	376
35	(1.8357, -0.6809, -1.1814)	(-0.0034, 0.0001, -0.0139, 0.9999)	11	387
36	(1.9604, 0.1750, -0.7700)	(-0.0032, 0.0002, -0.0139, 0.9999)	11	398
37	(0.9792, 0.4757, -0.8361)	(-0.0032, 0.0002, -0.0139, 0.9999)	11	409
38	(1.1653, -0.0535, -0.1567)	(-0.0030, 0.0002, -0.0139, 0.9999)	11	421
39	(2.8714, 1.4895, 0.7167)	(-0.0025, 0.0005, -0.0138, 0.9999)	11	432
40	(0.7406, 0.6891, 0.6133)	(-0.0027, 0.0005, -0.0137, 0.9999)	11	443
41	(0.6208, 0.4486, 0.6185)	(-0.0027, 0.0005, -0.0137, 0.9999)	11	454
42	(0.0123, 1.1860, 1.1546)	(-0.0028, 0.0006, -0.0135, 0.9999)	11	465
43	(-0.1672, -0.2635, 1.3674)	(-0.0028, 0.0006, -0.0134, 0.9999)	11	476
