Using_curved_screen False Player_screen_cm 100 Screen_width_cm 100 Camera1_display 0 Camera2_display 1 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 0.5 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(-0.2360, -9.4983, -0.1005)	(-0.0047, -0.0208, 0.0087, -0.9997)	1	4
1	(-0.7271, -8.1652, -0.3662)	(-0.0046, -0.0202, 0.0087, -0.9997)	6	9
2	(0.3742, -10.3462, 0.0978)	(-0.0049, -0.0188, 0.0086, -0.9998)	10	19
3	(1.7784, -10.0960, 0.2088)	(-0.0052, -0.0179, 0.0086, -0.9998)	11	31
4	(0.9277, -11.1225, 0.7125)	(-0.0051, -0.0167, 0.0085, -0.9998)	11	42
5	(1.9587, -10.3831, 1.2438)	(-0.0055, -0.0159, 0.0083, -0.9998)	11	53
6	(1.4705, -9.6412, 1.7165)	(-0.0055, -0.0150, 0.0080, -0.9998)	11	64
7	(0.6790, -9.3337, 1.9586)	(-0.0055, -0.0142, 0.0078, -0.9999)	11	75
8	(0.4969, -10.0072, 1.7896)	(-0.0056, -0.0131, 0.0077, -0.9999)	10	86
9	(1.5996, -9.8589, 3.0591)	(-0.0061, -0.0122, 0.0072, -0.9999)	12	98
10	(2.4538, -9.1050, 4.0196)	(-0.0064, -0.0115, 0.0066, -0.9999)	11	109
11	(2.8784, -9.2235, 4.0779)	(-0.0068, -0.0106, 0.0063, -0.9999)	10	119
12	(3.7328, -8.8434, 4.6798)	(-0.0073, -0.0099, 0.0058, -0.9999)	11	130
13	(3.5466, -8.4395, 3.7570)	(-0.0077, -0.0092, 0.0056, -0.9999)	11	141
14	(3.3040, -7.5180, 4.0423)	(-0.0079, -0.0086, 0.0051, -0.9999)	11	152
15	(1.6483, -5.2530, 4.6136)	(-0.0078, -0.0085, 0.0046, -0.9999)	11	163
16	(1.8320, -4.8140, 5.3364)	(-0.0081, -0.0081, 0.0041, -0.9999)	12	175
