Using_curved_screen False Player_screen_cm 100 Screen_width_cm 100 Camera1_display 0 Camera2_display 1 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 0.5 UseAcuityIndicator True AcuityMode 0 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(0.5714, 8.7446, -3.6421)	(-0.0139, 0.0269, -0.0112, -0.9995)	1	3
1	(-0.3914, 7.2472, -2.3906)	(-0.0137, 0.0265, -0.0111, -0.9995)	3	6
2	(-0.5773, 7.4070, -3.4917)	(-0.0137, 0.0257, -0.0106, -0.9995)	10	16
3	(-0.9919, 4.9504, -1.6161)	(-0.0136, 0.0254, -0.0107, -0.9995)	24	40
4	(-0.9905, 4.9671, -0.8213)	(-0.0134, 0.0245, -0.0106, -0.9996)	9	49
5	(-2.2143, 5.1231, -2.0393)	(-0.0130, 0.0239, -0.0102, -0.9996)	10	59
6	(-4.2892, 5.5021, -1.3143)	(-0.0122, 0.0232, -0.0101, -0.9996)	11	70
7	(-3.2544, 5.7181, -2.5345)	(-0.0121, 0.0226, -0.0096, -0.9996)	12	82
8	(-3.7417, 5.5935, -2.7136)	(-0.0115, 0.0221, -0.0093, -0.9996)	11	93
9	(-5.0280, 6.5685, -2.5464)	(-0.0108, 0.0213, -0.0091, -0.9997)	10	103
10	(-5.8148, 5.4284, -1.7317)	(-0.0101, 0.0209, -0.0090, -0.9997)	11	114
11	(-5.9987, 5.4873, -1.9154)	(-0.0095, 0.0204, -0.0088, -0.9997)	12	127
12	(-4.2296, 6.8994, -1.2797)	(-0.0094, 0.0195, -0.0088, -0.9997)	10	137
13	(-3.9235, 6.3011, -0.9025)	(-0.0090, 0.0190, -0.0088, -0.9997)	11	148
14	(-4.1030, 5.4047, 0.0314)	(-0.0086, 0.0186, -0.0090, -0.9998)	11	159
15	(-4.1677, 6.5812, 0.7287)	(-0.0082, 0.0177, -0.0091, -0.9998)	12	171
16	(-3.4331, 5.3367, -0.5184)	(-0.0080, 0.0174, -0.0089, -0.9998)	11	182
17	(-2.8803, 4.6769, -0.0834)	(-0.0079, 0.0170, -0.0091, -0.9998)	12	194
18	(-2.0870, 4.5724, 0.8889)	(-0.0078, 0.0167, -0.0093, -0.9998)	10	204
19	(-2.2704, 4.9498, 1.4253)	(-0.0076, 0.0161, -0.0095, -0.9998)	11	215
20	(-2.0208, 3.6730, 1.3931)	(-0.0075, 0.0160, -0.0095, -0.9998)	11	226
21	(-0.8648, 5.0284, 2.0889)	(-0.0074, 0.0152, -0.0099, -0.9998)	11	237
22	(-2.7544, 3.6747, 1.5153)	(-0.0068, 0.0151, -0.0099, -0.9998)	11	248
23	(-3.7315, 4.8985, 1.7967)	(-0.0061, 0.0142, -0.0102, -0.9998)	11	259
24	(-3.3098, 6.0599, 2.0180)	(-0.0059, 0.0135, -0.0104, -0.9998)	12	271
25	(-3.3620, 4.5520, 2.7179)	(-0.0055, 0.0133, -0.0107, -0.9998)	12	283
26	(-3.8572, 4.3974, 1.3839)	(-0.0050, 0.0130, -0.0106, -0.9998)	10	293
27	(-3.6717, 3.7321, 1.5798)	(-0.0048, 0.0127, -0.0108, -0.9998)	11	304
28	(-2.6907, 2.8044, 0.6803)	(-0.0048, 0.0127, -0.0108, -0.9998)	11	315
29	(-3.1837, 4.9937, 0.5747)	(-0.0042, 0.0117, -0.0109, -0.9999)	12	327
30	(-3.6764, 4.9315, 0.6403)	(-0.0037, 0.0113, -0.0110, -0.9999)	11	337
31	(-4.4657, 4.7043, 1.3165)	(-0.0031, 0.0109, -0.0112, -0.9999)	11	349
32	(-5.8074, 4.0116, 0.2990)	(-0.0023, 0.0106, -0.0110, -0.9999)	11	359
33	(-6.7855, 5.5959, 0.5732)	(-0.0015, 0.0098, -0.0111, -0.9999)	11	370
34	(-7.0942, 4.8576, 0.0512)	(-0.0007, 0.0095, -0.0109, -0.9999)	12	383
35	(-7.3994, 3.8996, -1.9422)	(0.0000, 0.0093, -0.0104, -0.9999)	10	393
36	(-8.1330, 5.7778, -2.4012)	(0.0010, 0.0084, -0.0101, -0.9999)	11	404
37	(-6.7356, 6.1404, -2.6586)	(0.0014, 0.0077, -0.0098, -0.9999)	12	415
38	(-6.9782, 7.4968, -1.8329)	(0.0022, 0.0068, -0.0098, -0.9999)	10	426
39	(-4.5435, 7.2910, -3.0543)	(0.0022, 0.0062, -0.0092, -0.9999)	12	437
40	(-2.0417, 8.6315, -3.1459)	(0.0021, 0.0052, -0.0089, -0.9999)	12	449
41	(-1.2497, 8.4533, -2.9616)	(0.0022, 0.0045, -0.0086, -1.0000)	10	459
42	(-0.6349, 7.4044, -3.6116)	(0.0022, 0.0040, -0.0082, -1.0000)	11	470
43	(0.0947, 6.7332, -3.7260)	(0.0021, 0.0035, -0.0078, -1.0000)	12	482
44	(-0.5083, 5.4734, -2.9037)	(0.0024, 0.0030, -0.0077, -1.0000)	11	493
45	(-1.7343, 7.6720, -2.5211)	(0.0028, 0.0019, -0.0075, -1.0000)	11	504
46	(-1.2450, 6.6294, -2.8676)	(0.0029, 0.0015, -0.0071, -1.0000)	12	515
47	(-2.2823, 6.9443, -2.2589)	(0.0033, 0.0008, -0.0070, -1.0000)	11	526
48	(-1.4825, 7.5443, 0.1007)	(0.0033, 0.0000, -0.0074, -1.0000)	11	537
49	(-1.5438, 6.1863, -0.7870)	(0.0035, -0.0003, -0.0071, -1.0000)	11	549
50	(-1.3574, 6.0913, 0.6731)	(0.0036, -0.0009, -0.0074, -1.0000)	12	560
51	(-1.2389, 7.5122, 1.5537)	(0.0036, -0.0019, -0.0077, -1.0000)	11	571
52	(-1.9126, 8.7968, 1.7128)	(0.0039, -0.0030, -0.0079, -1.0000)	11	582
53	(-1.2453, 10.9490, 2.7658)	(0.0038, -0.0043, -0.0083, -0.9999)	11	593
54	(-1.3073, 10.2718, 2.4135)	(0.0040, -0.0052, -0.0085, -0.9999)	11	605
55	(-1.3667, 11.4377, 2.8764)	(0.0041, -0.0065, -0.0088, -0.9999)	10	615
56	(-0.6966, 11.0544, 2.0298)	(0.0041, -0.0075, -0.0089, -0.9999)	11	626
57	(-1.6709, 11.3749, 2.6326)	(0.0045, -0.0087, -0.0092, -0.9999)	12	638
58	(-1.3071, 10.0862, 2.2971)	(0.0046, -0.0094, -0.0094, -0.9999)	10	648
59	(-1.3656, 10.1960, 1.8031)	(0.0048, -0.0104, -0.0095, -0.9999)	11	660
60	(-2.4620, 8.8077, 2.2634)	(0.0051, -0.0110, -0.0098, -0.9999)	12	672
61	(-0.9934, 8.5030, 2.3853)	(0.0050, -0.0117, -0.0101, -0.9999)	12	684
62	(-0.4435, 6.6266, 2.6675)	(0.0049, -0.0121, -0.0103, -0.9999)	10	694
63	(0.5326, 5.8261, 2.3776)	(0.0048, -0.0125, -0.0105, -0.9999)	10	704
64	(1.0791, 5.7245, 3.2304)	(0.0046, -0.0130, -0.0109, -0.9998)	10	715
65	(1.9352, 4.1806, 2.1606)	(0.0043, -0.0130, -0.0109, -0.9998)	13	728
66	(2.4901, 1.8488, 1.4738)	(0.0041, -0.0128, -0.0109, -0.9999)	9	737
67	(2.4326, 2.0999, 1.7149)	(0.0038, -0.0131, -0.0111, -0.9998)	13	750
68	(3.6541, 0.4169, 2.7177)	(0.0032, -0.0128, -0.0115, -0.9998)	12	762
69	(4.3358, -0.9591, 3.6587)	(0.0027, -0.0125, -0.0120, -0.9998)	8	770
70	(5.2023, -4.2614, 5.7935)	(0.0020, -0.0115, -0.0128, -0.9998)	12	782
71	(5.4455, -4.9216, 6.2295)	(0.0014, -0.0110, -0.0135, -0.9998)	10	792
72	(5.2678, -7.1117, 6.3371)	(0.0009, -0.0099, -0.0141, -0.9999)	11	803
73	(5.6380, -8.2034, 6.6612)	(0.0002, -0.0089, -0.0148, -0.9999)	13	817
74	(5.2133, -8.8334, 5.5768)	(-0.0003, -0.0079, -0.0151, -0.9999)	11	827
75	(4.8475, -10.5174, 3.9071)	(-0.0008, -0.0066, -0.0153, -0.9999)	10	837
76	(4.9044, -9.7683, 4.6870)	(-0.0013, -0.0058, -0.0158, -0.9999)	11	848
77	(4.2348, -10.2567, 4.6358)	(-0.0017, -0.0048, -0.0162, -0.9999)	11	859
78	(5.3893, -9.0418, 4.3677)	(-0.0025, -0.0041, -0.0166, -0.9999)	11	870
79	(4.7830, -9.1499, 4.9780)	(-0.0028, -0.0031, -0.0171, -0.9998)	13	883
80	(3.4396, -9.1733, 3.9470)	(-0.0030, -0.0023, -0.0173, -0.9998)	9	892
81	(3.3745, -8.8855, 3.2092)	(-0.0033, -0.0015, -0.0175, -0.9998)	13	906
82	(2.2781, -8.0253, 3.6241)	(-0.0034, -0.0009, -0.0179, -0.9998)	10	915
83	(4.2270, -7.4025, 4.2751)	(-0.0042, -0.0003, -0.0184, -0.9998)	10	925
84	(3.7365, -6.0618, 4.3697)	(-0.0045, 0.0001, -0.0188, -0.9998)	12	937
85	(2.4538, -4.4811, 4.2215)	(-0.0046, 0.0002, -0.0192, -0.9998)	12	949
