Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 0 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 2 UseAcuityIndicator True AcuityMode 1 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(-2.4061, 4.2796, -1.7610)	(0.0009, 0.0013, -0.0130, -0.9999)	1	3
1	(-3.5688, 5.2252, -2.9951)	(0.0015, 0.0005, -0.0125, -0.9999)	4	8
2	(-2.2277, 7.8545, 0.2944)	(0.0015, -0.0007, -0.0131, -0.9999)	11	18
3	(-3.1483, 9.3816, 0.5696)	(0.0019, -0.0019, -0.0131, -0.9999)	11	30
4	(-2.9639, 8.7690, 0.2782)	(0.0021, -0.0027, -0.0131, -0.9999)	14	43
5	(-2.0489, 10.1801, 0.9163)	(0.0022, -0.0039, -0.0133, -0.9999)	8	52
6	(-2.8456, 10.1232, 0.9770)	(0.0027, -0.0048, -0.0134, -0.9999)	11	63
7	(-2.8464, 10.4907, 1.0326)	(0.0029, -0.0059, -0.0135, -0.9999)	10	73
8	(-2.8412, 8.3541, 0.9555)	(0.0033, -0.0063, -0.0136, -0.9999)	12	85
9	(-2.5939, 7.6092, 0.3577)	(0.0035, -0.0069, -0.0136, -0.9999)	11	96
10	(-2.4075, 6.3299, 0.2056)	(0.0037, -0.0074, -0.0136, -0.9999)	11	107
11	(-1.4897, 4.9591, -1.3484)	(0.0038, -0.0075, -0.0132, -0.9999)	12	118
12	(-3.1384, 3.9832, -1.3868)	(0.0044, -0.0078, -0.0130, -0.9999)	11	129
13	(-3.8084, 3.6150, -1.4346)	(0.0049, -0.0081, -0.0128, -0.9999)	12	141
14	(-6.4867, 1.7225, -1.4515)	(0.0059, -0.0080, -0.0127, -0.9999)	11	152
15	(-5.2670, 2.2732, -1.4662)	(0.0062, -0.0082, -0.0125, -0.9999)	11	163
16	(-5.1392, -0.3978, -1.1095)	(0.0066, -0.0078, -0.0124, -0.9999)	11	173
17	(-3.1833, -0.6962, -0.9891)	(0.0065, -0.0078, -0.0124, -0.9999)	12	185
18	(-2.2074, -1.3695, -1.2187)	(0.0066, -0.0076, -0.0123, -0.9999)	11	196
19	(-0.0713, -2.7045, -1.1409)	(0.0065, -0.0073, -0.0121, -0.9999)	11	207
20	(-0.2547, -2.7047, -1.1403)	(0.0066, -0.0071, -0.0120, -0.9999)	11	218
21	(3.5247, -3.4376, -1.3769)	(0.0059, -0.0064, -0.0117, -0.9999)	11	229
22	(3.7715, -4.2472, -2.3338)	(0.0054, -0.0057, -0.0113, -0.9999)	12	241
23	(2.2480, -4.4207, -1.7824)	(0.0056, -0.0054, -0.0114, -0.9999)	11	252
24	(2.1867, -4.7125, -1.2271)	(0.0054, -0.0049, -0.0113, -0.9999)	11	263
25	(2.3687, -3.7924, -0.7600)	(0.0053, -0.0048, -0.0113, -0.9999)	11	274
26	(2.1862, -4.5294, -1.2308)	(0.0051, -0.0042, -0.0112, -0.9999)	11	285
27	(-0.3048, -5.1889, -0.5981)	(0.0054, -0.0036, -0.0112, -0.9999)	12	297
28	(-0.1217, -5.1341, -0.7256)	(0.0053, -0.0033, -0.0111, -0.9999)	12	308
29	(2.5519, -3.2301, -0.1598)	(0.0048, -0.0033, -0.0112, -0.9999)	11	319
30	(2.0670, -4.8932, -1.1030)	(0.0046, -0.0025, -0.0110, -0.9999)	11	330
31	(2.5523, -3.8494, -0.7594)	(0.0044, -0.0024, -0.0110, -0.9999)	12	341
32	(-0.1243, -3.5969, -0.0244)	(0.0047, -0.0023, -0.0111, -0.9999)	11	352
33	(-0.0674, -3.4137, -0.0282)	(0.0047, -0.0020, -0.0110, -0.9999)	11	363
34	(0.0551, -2.3896, -0.5984)	(0.0047, -0.0019, -0.0109, -0.9999)	11	374
35	(-0.0727, -1.7788, -0.6675)	(0.0046, -0.0017, -0.0108, -0.9999)	11	385
36	(-0.0746, -1.4299, -1.2237)	(0.0046, -0.0016, -0.0107, -0.9999)	11	396
37	(-0.5041, 0.6350, -1.2641)	(0.0046, -0.0016, -0.0106, -0.9999)	11	407
38	(-0.9881, -0.6999, -1.2987)	(0.0047, -0.0014, -0.0105, -0.9999)	12	419
39	(0.0457, 0.3170, -1.9915)	(0.0047, -0.0015, -0.0102, -0.9999)	11	430
40	(0.1700, -0.5746, -1.1216)	(0.0048, -0.0014, -0.0101, -0.9999)	11	441
41	(0.0527, -1.7279, -0.9778)	(0.0048, -0.0014, -0.0100, -0.9999)	11	452
42	(-0.8691, 0.5978, -0.2898)	(0.0049, -0.0016, -0.0100, -0.9999)	13	465
43	(-0.9938, 2.6745, 0.2179)	(0.0050, -0.0019, -0.0100, -0.9999)	8	474
