Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 0 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 2 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.1 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(1.2606, -0.5110, -0.3900)	(0.0307, -0.0185, -0.0024, -0.9994)	1	3
1	(1.0768, -1.0594, -0.3127)	(0.0306, -0.0184, -0.0023, -0.9994)	3	6
2	(0.2874, 0.5567, -1.5164)	(0.0306, -0.0185, -0.0021, -0.9994)	11	17
3	(-0.2568, 0.0391, -0.2827)	(0.0306, -0.0185, -0.0022, -0.9994)	11	29
4	(-0.2560, 0.9027, 0.0558)	(0.0306, -0.0186, -0.0021, -0.9994)	12	40
5	(0.4082, 0.4765, 0.2495)	(0.0305, -0.0185, -0.0021, -0.9994)	11	51
6	(0.2871, -0.4259, 0.3932)	(0.0305, -0.0185, -0.0022, -0.9994)	12	63
7	(0.5903, -0.8563, 0.4041)	(0.0304, -0.0184, -0.0022, -0.9994)	10	73
8	(0.8309, -0.7442, 0.0975)	(0.0303, -0.0184, -0.0022, -0.9994)	11	84
9	(2.9673, -0.5910, -0.9391)	(0.0298, -0.0183, -0.0021, -0.9994)	12	96
10	(2.8461, -1.4577, -1.4034)	(0.0296, -0.0181, -0.0019, -0.9994)	10	107
11	(3.3896, -1.8437, -2.3102)	(0.0291, -0.0178, -0.0016, -0.9994)	11	117
12	(3.6365, -1.3439, -1.8308)	(0.0288, -0.0178, -0.0016, -0.9994)	12	129
13	(3.7563, -1.5515, -2.7418)	(0.0284, -0.0176, -0.0012, -0.9994)	10	140
14	(3.8196, -1.7599, -1.2761)	(0.0281, -0.0174, -0.0013, -0.9995)	13	152
15	(2.1757, -1.6385, -1.3352)	(0.0282, -0.0174, -0.0013, -0.9995)	10	163
16	(1.2598, -1.3085, -0.6156)	(0.0281, -0.0174, -0.0013, -0.9995)	11	174
17	(2.4165, -1.7402, -0.6054)	(0.0278, -0.0171, -0.0012, -0.9995)	11	185
