Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 0.5 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.1 AcuityChangeNumber 10 AcuityChangeUpPerc 0.5 AcuityChangeDownPerc 0 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(6.0958, -2.7456, -1.0596)	(0.0113, 0.0244, 0.0050, -0.9996)	1	3
1	(4.7556, -2.5042, -1.1220)	(0.0112, 0.0246, 0.0052, -0.9996)	4	7
2	(3.7192, -2.5251, 0.2138)	(0.0111, 0.0248, 0.0050, -0.9996)	11	18
3	(4.0842, -4.0218, -0.8416)	(0.0106, 0.0255, 0.0053, -0.9996)	9	27
4	(2.9846, -3.7137, -0.9690)	(0.0107, 0.0256, 0.0054, -0.9996)	10	37
5	(0.7280, -3.8063, 0.1864)	(0.0109, 0.0259, 0.0052, -0.9996)	14	51
6	(-0.4238, -3.6088, -1.7592)	(0.0111, 0.0262, 0.0056, -0.9996)	9	59
7	(-1.3958, -2.0474, -0.4586)	(0.0113, 0.0261, 0.0055, -0.9996)	11	70
8	(-1.2125, -1.9369, -0.8282)	(0.0114, 0.0264, 0.0057, -0.9996)	12	82
9	(-1.3393, -2.3897, -1.9159)	(0.0115, 0.0268, 0.0060, -0.9996)	11	93
10	(0.2412, -3.2853, -0.9778)	(0.0114, 0.0273, 0.0061, -0.9995)	11	103
11	(0.7268, -4.4017, -1.7396)	(0.0113, 0.0280, 0.0064, -0.9995)	12	115
12	(1.8830, -5.7793, -0.6111)	(0.0109, 0.0288, 0.0064, -0.9995)	11	126
13	(1.0306, -4.7874, -0.0233)	(0.0109, 0.0289, 0.0063, -0.9995)	12	138
14	(1.8271, -4.0868, -1.2619)	(0.0106, 0.0292, 0.0066, -0.9995)	11	149
15	(2.4347, -4.0001, -0.1078)	(0.0103, 0.0296, 0.0065, -0.9995)	11	160
16	(3.2872, -4.8149, -0.9407)	(0.0097, 0.0304, 0.0067, -0.9995)	12	172
17	(3.4704, -4.8199, -1.1240)	(0.0094, 0.0308, 0.0067, -0.9995)	11	182
18	(4.8116, -4.4768, 0.4466)	(0.0086, 0.0312, 0.0064, -0.9995)	11	194
19	(4.5711, -3.9027, -1.0857)	(0.0083, 0.0314, 0.0068, -0.9994)	11	204
20	(3.7753, -3.5267, -0.7912)	(0.0082, 0.0316, 0.0068, -0.9994)	11	215
21	(4.2629, -2.4548, -1.6726)	(0.0077, 0.0317, 0.0070, -0.9994)	12	227
22	(4.8130, -1.8630, -2.4787)	(0.0071, 0.0318, 0.0073, -0.9994)	11	239
23	(2.9861, -1.7223, -1.8108)	(0.0072, 0.0319, 0.0073, -0.9994)	10	249
24	(4.1428, -2.2081, -1.6789)	(0.0066, 0.0322, 0.0074, -0.9994)	11	260
25	(3.7781, -0.2489, -1.3627)	(0.0063, 0.0318, 0.0075, -0.9994)	11	272
26	(3.9046, 0.4710, -1.6850)	(0.0059, 0.0317, 0.0077, -0.9994)	11	282
27	(4.3303, 2.8254, -2.6625)	(0.0051, 0.0311, 0.0083, -0.9995)	15	297
28	(4.6966, 2.8544, -3.9464)	(0.0046, 0.0309, 0.0089, -0.9995)	7	304
29	(4.6346, 4.2956, -4.7739)	(0.0041, 0.0302, 0.0096, -0.9995)	11	316
30	(3.9656, 5.3517, -4.1306)	(0.0038, 0.0294, 0.0099, -0.9995)	11	327
31	(2.9309, 7.3295, -3.1443)	(0.0037, 0.0283, 0.0101, -0.9995)	14	341
32	(1.2257, 8.7782, -1.5940)	(0.0038, 0.0272, 0.0101, -0.9996)	9	349
33	(0.0689, 9.0869, -1.4807)	(0.0039, 0.0263, 0.0103, -0.9996)	11	360
34	(0.8017, 8.3170, -0.6081)	(0.0037, 0.0256, 0.0103, -0.9996)	12	372
35	(0.8596, 8.3646, 1.2118)	(0.0036, 0.0248, 0.0098, -0.9996)	10	382
36	(-0.2283, 9.1949, 0.2176)	(0.0039, 0.0237, 0.0101, -0.9997)	11	393
37	(-0.6573, 9.6431, 0.8765)	(0.0040, 0.0227, 0.0099, -0.9997)	12	405
38	(-0.4122, 8.6922, -0.3705)	(0.0039, 0.0221, 0.0101, -0.9997)	11	416
39	(-0.6587, 8.2784, 0.2417)	(0.0040, 0.0213, 0.0100, -0.9997)	10	426
40	(0.3150, 7.8734, 1.0417)	(0.0038, 0.0206, 0.0097, -0.9997)	11	438
41	(0.1889, 7.8090, 0.9862)	(0.0038, 0.0199, 0.0097, -0.9997)	12	449
42	(1.1680, 7.2109, 1.4246)	(0.0036, 0.0194, 0.0095, -0.9998)	13	462
43	(1.2249, 6.7300, 1.6833)	(0.0035, 0.0188, 0.0093, -0.9998)	10	472
44	(0.7365, 5.1931, 1.2366)	(0.0035, 0.0187, 0.0092, -0.9998)	10	482
45	(2.1398, 5.0139, 1.4806)	(0.0030, 0.0182, 0.0091, -0.9998)	11	493
46	(4.0922, 4.3210, 0.7638)	(0.0022, 0.0179, 0.0091, -0.9998)	12	505
47	(3.6001, 5.0355, 0.2017)	(0.0019, 0.0174, 0.0092, -0.9998)	12	517
48	(4.6359, 4.0515, -0.0772)	(0.0013, 0.0172, 0.0092, -0.9998)	11	528
49	(3.5987, 3.8554, -0.6153)	(0.0012, 0.0170, 0.0093, -0.9998)	11	539
50	(3.1120, 3.9870, -0.4351)	(0.0011, 0.0167, 0.0094, -0.9998)	11	550
51	(2.2585, 3.9867, -0.4974)	(0.0010, 0.0163, 0.0094, -0.9998)	12	562
52	(1.7727, 5.3161, -1.0181)	(0.0009, 0.0155, 0.0096, -0.9998)	12	574
53	(0.3128, 5.8836, -0.2413)	(0.0012, 0.0148, 0.0095, -0.9998)	9	583
54	(0.7978, 4.1538, -0.9873)	(0.0011, 0.0149, 0.0097, -0.9998)	10	593
55	(-0.5986, 5.3881, -0.5942)	(0.0014, 0.0140, 0.0097, -0.9999)	11	604
56	(-0.8393, 5.3774, -1.0175)	(0.0015, 0.0134, 0.0098, -0.9999)	11	616
57	(-1.4523, 4.8655, 0.2103)	(0.0016, 0.0130, 0.0095, -0.9999)	11	627
58	(-1.0225, 4.8776, 0.6964)	(0.0016, 0.0126, 0.0094, -0.9999)	11	638
59	(-0.4789, 4.3200, 0.4641)	(0.0016, 0.0123, 0.0095, -0.9999)	12	650
60	(1.3492, 5.1762, 0.6237)	(0.0013, 0.0115, 0.0094, -0.9999)	12	661
61	(-0.4776, 6.0651, -0.3656)	(0.0017, 0.0108, 0.0096, -0.9999)	11	672
62	(-0.2317, 5.4665, 0.0105)	(0.0017, 0.0105, 0.0094, -0.9999)	10	683
63	(0.4321, 4.1040, 1.6888)	(0.0016, 0.0104, 0.0091, -0.9999)	12	694
64	(0.0669, 5.4142, 2.6288)	(0.0016, 0.0095, 0.0087, -0.9999)	11	706
65	(-1.1483, 4.3202, 2.8414)	(0.0018, 0.0093, 0.0084, -0.9999)	14	720
66	(0.4950, 3.8176, 2.3662)	(0.0015, 0.0093, 0.0084, -0.9999)	8	728
67	(-0.2959, 3.2160, 2.5657)	(0.0016, 0.0091, 0.0082, -0.9999)	12	740
68	(-0.7832, 2.7899, 2.6974)	(0.0017, 0.0090, 0.0080, -0.9999)	9	749
69	(-0.0510, 1.8573, 2.1768)	(0.0016, 0.0091, 0.0079, -0.9999)	11	760
70	(-0.4183, 1.1776, 1.8281)	(0.0017, 0.0091, 0.0078, -0.9999)	11	771
71	(0.6743, -0.0109, 0.7584)	(0.0016, 0.0091, 0.0077, -0.9999)	11	782
72	(2.8041, -1.1695, 0.6663)	(0.0012, 0.0092, 0.0075, -0.9999)	11	794
73	(2.1345, -0.3287, 0.0954)	(0.0012, 0.0092, 0.0075, -0.9999)	11	805
74	(1.6465, -1.4412, -0.3565)	(0.0011, 0.0094, 0.0075, -0.9999)	11	816
75	(0.6741, -0.3073, 0.8291)	(0.0011, 0.0094, 0.0074, -0.9999)	12	828
76	(0.3646, -0.0453, -0.5748)	(0.0011, 0.0095, 0.0075, -0.9999)	11	839
77	(-0.7865, 0.2651, -0.3986)	(0.0011, 0.0095, 0.0076, -0.9999)	11	849
78	(0.0029, -0.8932, -0.5526)	(0.0011, 0.0096, 0.0077, -0.9999)	11	861
79	(-0.2998, -0.1998, 0.2773)	(0.0011, 0.0096, 0.0077, -0.9999)	12	872
80	(0.4288, 1.0127, 0.1824)	(0.0011, 0.0095, 0.0077, -0.9999)	12	885
81	(-0.1153, 1.3647, -0.4276)	(0.0012, 0.0094, 0.0077, -0.9999)	9	894
82	(-1.3342, 2.5357, -0.0331)	(0.0014, 0.0090, 0.0078, -0.9999)	12	907
83	(-1.7571, 3.5754, -0.0023)	(0.0016, 0.0084, 0.0078, -0.9999)	9	916
84	(-1.8181, 5.4345, 1.1065)	(0.0018, 0.0074, 0.0075, -0.9999)	10	927
85	(-0.2321, 4.8148, 0.7547)	(0.0016, 0.0072, 0.0075, -0.9999)	11	938
86	(0.4342, 6.6044, 1.4409)	(0.0015, 0.0060, 0.0073, -1.0000)	12	950
87	(0.4975, 6.7916, 1.8025)	(0.0015, 0.0053, 0.0071, -1.0000)	12	962
88	(0.0114, 8.1618, 0.4274)	(0.0015, 0.0043, 0.0073, -1.0000)	10	972
