Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 0.5 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.1 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(2.6959, 4.7455, -4.1785)	(0.0362, 0.0088, -0.0007, -0.9993)	1	3
1	(2.5141, 6.2205, -3.7239)	(0.0358, 0.0075, 0.0000, -0.9993)	6	10
2	(2.0845, 5.6565, -2.0654)	(0.0356, 0.0070, 0.0000, -0.9993)	11	20
3	(1.8439, 5.2589, -0.8351)	(0.0355, 0.0066, -0.0001, -0.9993)	11	32
4	(1.1742, 5.6978, -0.5423)	(0.0354, 0.0059, -0.0001, -0.9994)	12	44
5	(1.2932, 3.9501, 0.4133)	(0.0354, 0.0061, -0.0003, -0.9994)	11	55
6	(0.1929, 3.7397, -0.6742)	(0.0355, 0.0057, 0.0000, -0.9994)	11	66
7	(-1.3255, 3.4811, -1.2160)	(0.0358, 0.0054, 0.0002, -0.9993)	11	77
8	(-0.7760, 3.3910, -2.4340)	(0.0358, 0.0050, 0.0006, -0.9993)	11	88
9	(-1.1432, 2.4935, -1.6774)	(0.0360, 0.0049, 0.0007, -0.9993)	14	102
10	(0.0694, 0.4260, -1.2584)	(0.0359, 0.0051, 0.0007, -0.9993)	10	111
11	(0.0682, -1.0852, -0.9158)	(0.0359, 0.0052, 0.0007, -0.9993)	10	121
12	(2.5656, -1.2029, -0.6686)	(0.0354, 0.0053, 0.0008, -0.9994)	11	131
13	(4.5178, -2.1964, -1.2573)	(0.0346, 0.0058, 0.0011, -0.9994)	11	142
14	(4.0302, -3.1647, -0.8024)	(0.0341, 0.0063, 0.0011, -0.9994)	13	155
15	(5.3069, -3.9561, -0.7200)	(0.0333, 0.0069, 0.0011, -0.9994)	9	165
16	(4.8210, -3.8160, 2.1918)	(0.0330, 0.0072, 0.0004, -0.9994)	15	180
17	(5.1874, -4.0679, 2.0148)	(0.0324, 0.0076, 0.0003, -0.9994)	11	191
18	(5.3719, -3.2403, 3.3963)	(0.0318, 0.0078, -0.0003, -0.9995)	8	199
19	(4.0940, -4.1276, 4.2736)	(0.0316, 0.0083, -0.0009, -0.9995)	13	211
20	(3.5444, -3.5382, 3.5258)	(0.0314, 0.0086, -0.0010, -0.9995)	8	219
21	(2.5069, -3.9832, 2.6848)	(0.0313, 0.0090, -0.0011, -0.9995)	12	231
22	(2.0783, -2.3141, 1.1187)	(0.0313, 0.0088, -0.0009, -0.9995)	10	242
23	(2.3872, -2.5156, 0.4536)	(0.0311, 0.0092, -0.0009, -0.9995)	12	254
24	(1.6525, -4.1703, 0.3137)	(0.0310, 0.0099, -0.0010, -0.9995)	11	264
25	(2.2024, -3.9954, 0.0109)	(0.0307, 0.0103, -0.0009, -0.9995)	11	276
26	(3.5991, -4.6954, -1.0087)	(0.0300, 0.0108, -0.0007, -0.9995)	11	287
27	(3.5997, -3.6864, -2.1286)	(0.0297, 0.0110, -0.0003, -0.9995)	12	298
28	(5.0036, -3.0737, -2.0884)	(0.0289, 0.0111, -0.0001, -0.9995)	11	309
29	(6.1608, -2.8458, -2.5190)	(0.0280, 0.0114, 0.0002, -0.9995)	11	320
30	(7.7488, -1.8942, -1.1418)	(0.0269, 0.0114, 0.0001, -0.9996)	12	333
31	(8.4822, -1.2503, -2.1384)	(0.0260, 0.0114, 0.0006, -0.9996)	11	343
