Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 0.5 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.1 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(0.5909, 2.2722, 3.7067)	(0.0036, -0.0239, -0.0172, -0.9996)	1	3
1	(0.2253, 3.4800, 3.3665)	(0.0036, -0.0244, -0.0174, -0.9995)	6	9
2	(0.1047, 3.1223, 3.5019)	(0.0036, -0.0246, -0.0177, -0.9995)	11	20
3	(-0.0806, 1.0903, 3.0048)	(0.0037, -0.0244, -0.0178, -0.9995)	11	31
4	(0.1629, -2.0179, 2.8387)	(0.0037, -0.0240, -0.0181, -0.9995)	11	42
5	(-0.2625, -3.0453, 1.0387)	(0.0038, -0.0236, -0.0181, -0.9996)	11	53
6	(-0.9918, -4.9488, 0.6017)	(0.0040, -0.0227, -0.0182, -0.9996)	12	65
7	(0.5247, -6.0210, -0.8265)	(0.0037, -0.0218, -0.0179, -0.9996)	11	76
8	(-0.1465, -6.8917, -1.4735)	(0.0039, -0.0210, -0.0178, -0.9996)	11	86
9	(-0.8752, -8.4060, -1.0729)	(0.0040, -0.0199, -0.0178, -0.9996)	11	97
10	(0.0284, -10.5690, 0.4999)	(0.0039, -0.0186, -0.0181, -0.9997)	11	109
11	(1.0090, -9.7449, 1.5773)	(0.0036, -0.0179, -0.0183, -0.9997)	11	120
12	(0.6417, -10.5937, 1.7829)	(0.0036, -0.0167, -0.0185, -0.9997)	11	131
13	(1.2492, -10.0522, 1.4648)	(0.0033, -0.0158, -0.0186, -0.9997)	14	145
14	(1.3740, -10.7767, -0.3434)	(0.0032, -0.0146, -0.0184, -0.9997)	8	154
15	(1.9837, -8.0317, -0.4149)	(0.0029, -0.0142, -0.0184, -0.9997)	12	166
16	(1.5540, -7.8052, -1.2107)	(0.0028, -0.0134, -0.0182, -0.9997)	11	176
17	(0.5245, -5.9230, -1.6823)	(0.0029, -0.0131, -0.0180, -0.9997)	11	187
18	(-0.2018, -5.0942, -0.3058)	(0.0030, -0.0127, -0.0182, -0.9997)	11	198
19	(0.5270, -3.8583, 0.2687)	(0.0028, -0.0126, -0.0182, -0.9998)	12	210
20	(0.7054, -3.0564, 0.6716)	(0.0027, -0.0125, -0.0183, -0.9998)	10	221
21	(1.3186, -3.2614, 2.0795)	(0.0025, -0.0121, -0.0185, -0.9998)	11	232
22	(1.5595, -2.8980, 1.9497)	(0.0023, -0.0118, -0.0186, -0.9998)	11	243
23	(1.7430, -3.1129, 3.1749)	(0.0021, -0.0115, -0.0190, -0.9998)	11	253
24	(2.4760, -3.0111, 2.5016)	(0.0017, -0.0112, -0.0192, -0.9998)	11	264
25	(2.9624, -3.5613, 2.3322)	(0.0013, -0.0107, -0.0194, -0.9998)	12	276
26	(2.6587, -3.5147, 1.9017)	(0.0012, -0.0105, -0.0196, -0.9998)	10	286
27	(2.7795, -2.6831, 1.0268)	(0.0010, -0.0104, -0.0195, -0.9998)	11	298
28	(3.2665, -2.1558, 0.1595)	(0.0006, -0.0102, -0.0195, -0.9998)	11	309
29	(4.6693, -2.7209, -0.3082)	(-0.0002, -0.0098, -0.0194, -0.9998)	12	320
30	(3.9418, -3.4599, 1.6587)	(-0.0005, -0.0094, -0.0198, -0.9998)	10	331
31	(6.0105, -3.1697, 3.6596)	(-0.0014, -0.0091, -0.0205, -0.9997)	11	342
32	(4.9739, -3.4942, 5.0090)	(-0.0017, -0.0087, -0.0212, -0.9997)	13	355
