Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 0.5 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.1 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList System.Collections.Generic.List`1[System.Int32] 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(30.2097, -31.7976, -4.2703)	(0.0507, -0.0586, 0.0033, -0.9970)	1	6
1	(32.2841, -31.9949, -5.0676)	(0.0474, -0.0554, 0.0040, -0.9973)	1	7
2	(32.5222, -30.6469, -4.6664)	(0.0443, -0.0526, 0.0045, -0.9976)	11	18
3	(33.9260, -30.5302, -4.9189)	(0.0407, -0.0496, 0.0050, -0.9979)	11	29
4	(33.3112, -28.0454, -5.3905)	(0.0377, -0.0472, 0.0057, -0.9982)	11	41
5	(31.8422, -27.2443, -5.0419)	(0.0349, -0.0446, 0.0061, -0.9984)	10	51
6	(29.6436, -25.7790, -4.6359)	(0.0325, -0.0423, 0.0065, -0.9986)	11	62
7	(25.5533, -23.5593, -3.0841)	(0.0308, -0.0404, 0.0065, -0.9987)	11	73
8	(21.6483, -22.6962, -2.3635)	(0.0294, -0.0383, 0.0066, -0.9988)	12	85
9	(19.6840, -19.2322, -2.7307)	(0.0278, -0.0370, 0.0069, -0.9989)	12	96
10	(17.7331, -19.1297, -3.4593)	(0.0264, -0.0351, 0.0073, -0.9990)	10	106
11	(15.2775, -15.0237, -5.1137)	(0.0254, -0.0343, 0.0080, -0.9991)	12	118
12	(14.1818, -13.9665, -4.0392)	(0.0242, -0.0331, 0.0083, -0.9991)	11	129
13	(11.6713, -12.5284, -4.9131)	(0.0235, -0.0322, 0.0089, -0.9992)	11	140
14	(9.7206, -11.9173, -4.8568)	(0.0230, -0.0311, 0.0094, -0.9992)	11	151
15	(8.9214, -10.5667, -4.2753)	(0.0223, -0.0303, 0.0097, -0.9992)	11	162
16	(7.6424, -10.2623, -4.1518)	(0.0218, -0.0294, 0.0101, -0.9993)	11	173
17	(6.5397, -9.0323, -3.5670)	(0.0214, -0.0287, 0.0103, -0.9993)	12	185
18	(4.8917, -7.3101, -2.6816)	(0.0212, -0.0282, 0.0104, -0.9993)	15	200
