Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 0.5 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.1 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 12 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(7.2394, -17.0953, 1.0955)	(0.0626, -0.0647, 0.0129, -0.9959)	1	3
1	(8.0397, -18.5628, 0.9397)	(0.0617, -0.0627, 0.0128, -0.9960)	6	9
2	(8.4577, -16.0610, 0.9452)	(0.0607, -0.0615, 0.0126, -0.9962)	11	20
3	(9.8613, -16.1991, 0.2803)	(0.0595, -0.0599, 0.0127, -0.9963)	11	31
4	(10.2224, -14.8880, -1.0858)	(0.0586, -0.0585, 0.0129, -0.9965)	11	42
5	(9.6747, -16.0482, -1.2438)	(0.0578, -0.0568, 0.0130, -0.9966)	11	53
6	(8.7501, -13.8785, -2.2573)	(0.0571, -0.0558, 0.0133, -0.9967)	12	65
7	(9.7839, -12.5437, -2.5332)	(0.0560, -0.0547, 0.0136, -0.9968)	10	75
8	(8.2009, -12.4890, -2.8329)	(0.0555, -0.0535, 0.0139, -0.9969)	11	86
9	(9.1126, -12.4212, -2.6539)	(0.0544, -0.0523, 0.0141, -0.9970)	11	97
10	(9.4155, -11.8664, -2.4200)	(0.0536, -0.0513, 0.0143, -0.9971)	11	109
11	(9.4810, -11.8382, -1.0821)	(0.0528, -0.0501, 0.0142, -0.9972)	11	120
12	(8.5646, -11.6465, -0.3511)	(0.0521, -0.0490, 0.0141, -0.9973)	11	131
13	(9.2413, -12.0139, -0.7118)	(0.0512, -0.0478, 0.0141, -0.9974)	15	146
14	(7.2271, -12.0371, 1.2968)	(0.0508, -0.0467, 0.0136, -0.9975)	8	154
15	(8.3913, -11.7782, 1.8373)	(0.0498, -0.0455, 0.0134, -0.9976)	10	164
16	(7.4726, -11.2358, 1.8291)	(0.0492, -0.0445, 0.0132, -0.9977)	11	175
17	(8.3897, -11.9258, 0.8049)	(0.0482, -0.0432, 0.0133, -0.9978)	11	186
18	(7.8391, -11.7409, 0.9229)	(0.0476, -0.0421, 0.0131, -0.9979)	11	197
19	(9.2451, -12.5351, 0.6316)	(0.0464, -0.0408, 0.0131, -0.9980)	12	210
20	(9.7876, -12.3120, -0.2211)	(0.0454, -0.0396, 0.0133, -0.9981)	10	219
