Using_curved_screen True Player_screen_cm 180 Screen_width_cm 121 Camera1_display 0 Camera2_display 1 CameraFOVFactor 2 GazeTime 1.5 RandomGazeTime 0.5 HideTime 0.1 SpeedThreshold 10 StopWinodow 0.1 TargetChangeTime 2 TargetChangeTimeRRange 0.5 UseAcuityIndicator True AcuityMode 1 AcuityFlashTime 0.1 AcuityChangeNumber 10 AcuityChangeUpPerc 0.8 AcuityChangeDownPerc 0.5 ACuityList 12 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(13.7273, -21.5653, -3.5606)	(0.0342, -0.0110, 0.0153, -0.9992)	1	2
1	(14.2795, -22.0446, -3.2494)	(0.0327, -0.0087, 0.0155, -0.9993)	4	6
2	(14.7701, -23.1304, -2.9258)	(0.0313, -0.0063, 0.0157, -0.9994)	11	17
3	(16.6649, -23.6595, -2.0683)	(0.0293, -0.0038, 0.0158, -0.9994)	11	28
4	(17.1522, -23.9126, -2.4308)	(0.0276, -0.0014, 0.0161, -0.9995)	11	39
5	(19.2921, -24.5820, -2.5437)	(0.0254, 0.0011, 0.0163, -0.9995)	11	50
6	(19.5916, -23.5011, -3.4187)	(0.0234, 0.0033, 0.0167, -0.9996)	12	62
7	(19.3508, -23.6896, -3.6602)	(0.0216, 0.0056, 0.0171, -0.9996)	11	73
8	(19.7686, -21.5724, -4.2533)	(0.0196, 0.0074, 0.0175, -0.9996)	12	86
9	(19.9521, -21.5079, -4.1922)	(0.0176, 0.0096, 0.0179, -0.9996)	9	95
10	(21.2904, -20.8535, -4.9987)	(0.0154, 0.0116, 0.0185, -0.9996)	11	105
11	(19.5174, -20.3732, -5.1863)	(0.0138, 0.0135, 0.0190, -0.9996)	11	116
12	(19.0251, -18.3644, -5.1681)	(0.0121, 0.0149, 0.0194, -0.9996)	11	128
13	(16.8271, -16.2613, -3.5565)	(0.0108, 0.0162, 0.0195, -0.9996)	12	139
14	(16.2170, -15.7886, -4.1764)	(0.0094, 0.0177, 0.0200, -0.9996)	10	150
15	(15.1781, -14.1731, -2.6842)	(0.0081, 0.0188, 0.0200, -0.9996)	11	161
16	(13.2231, -13.4225, -1.7154)	(0.0072, 0.0200, 0.0200, -0.9996)	12	172
17	(12.0593, -11.4221, -2.0555)	(0.0062, 0.0208, 0.0203, -0.9996)	11	183
18	(12.6704, -10.3179, -1.8393)	(0.0048, 0.0217, 0.0204, -0.9995)	12	195
19	(11.9376, -11.2495, -2.5506)	(0.0039, 0.0230, 0.0208, -0.9995)	10	206
20	(10.5252, -7.8966, -2.2479)	(0.0031, 0.0231, 0.0209, -0.9995)	11	217
21	(9.7320, -6.2242, -1.0608)	(0.0023, 0.0234, 0.0208, -0.9995)	12	229
22	(9.7299, -5.8779, -1.7371)	(0.0015, 0.0240, 0.0211, -0.9995)	10	239
23	(7.1014, -4.2821, -1.0922)	(0.0013, 0.0241, 0.0210, -0.9995)	11	250
24	(6.5555, -4.6081, 0.8609)	(0.0007, 0.0246, 0.0205, -0.9995)	11	261
25	(6.6833, -5.0892, 1.1105)	(0.0000, 0.0252, 0.0204, -0.9995)	11	272
26	(6.4317, -3.6401, 0.3556)	(-0.0006, 0.0253, 0.0204, -0.9995)	11	284
27	(5.0274, -2.8909, 1.5001)	(-0.0008, 0.0255, 0.0201, -0.9995)	13	297
