Missile Rate 1.00 Missile Speed 0.20 
Line_#	VR_Velocity	VR_Orientation	DeltaTime	TotalTime
0	(9.7588, 2.8047, -0.6756)	(0.2453, 0.0712, 0.0030, -0.9668)	1	1
1	(0.9185, 0.3506, -0.9033)	(0.2416, 0.0697, 0.0037, -0.9679)	5	5
2	(-0.4207, 1.4996, -1.1685)	(0.2413, 0.0694, 0.0042, -0.9680)	51	56
3	(6.1014, 1.7965, -1.8630)	(0.2385, 0.0685, 0.0051, -0.9687)	54	110
4	(5.3032, 2.0338, -2.2315)	(0.2365, 0.0679, 0.0061, -0.9692)	45	155
5	(7.6817, 3.3419, -0.8634)	(0.2336, 0.0670, 0.0065, -0.9700)	35	190
6	(13.1749, 3.6137, 0.0303)	(0.2267, 0.0655, 0.0065, -0.9717)	34	224
7	(13.6052, 3.2404, -0.3296)	(0.2227, 0.0649, 0.0067, -0.9727)	32	256
8	(21.8369, 4.4954, 0.8909)	(0.2123, 0.0625, 0.0060, -0.9752)	45	300
9	(28.4945, 3.7685, 0.7658)	(0.1995, 0.0613, 0.0055, -0.9780)	42	343
10	(36.6023, 5.1066, 0.2288)	(0.1832, 0.0594, 0.0049, -0.9813)	42	385
11	(47.2696, 5.4101, -3.3954)	(0.1617, 0.0581, 0.0067, -0.9851)	42	426
12	(66.9863, 4.0758, -1.6017)	(0.1296, 0.0569, 0.0054, -0.9899)	43	469
13	(79.9078, 6.5846, -4.7335)	(0.0937, 0.0539, 0.0066, -0.9941)	45	514
14	(86.4899, 7.5941, -6.1118)	(0.0740, 0.0523, 0.0076, -0.9959)	27	541
15	(90.3478, 4.5933, -4.2378)	(0.0375, 0.0515, 0.0066, -0.9980)	44	585
16	(80.9703, 0.4118, 0.2502)	(0.0086, 0.0522, 0.0036, -0.9986)	43	628
17	(59.3717, -2.6398, -2.0503)	(-0.0076, 0.0544, 0.0038, -0.9985)	45	673
18	(43.8223, -5.1197, -3.1101)	(-0.0196, 0.0568, 0.0047, -0.9982)	46	719
19	(25.1065, -9.8714, -2.0498)	(-0.0228, 0.0620, 0.0048, -0.9978)	44	763
20	(13.3838, -7.0525, -0.6706)	(-0.0246, 0.0634, 0.0044, -0.9977)	43	806
21	(-6.8866, 0.6241, -1.8641)	(-0.0166, 0.0608, 0.0056, -0.9980)	45	851
22	(-5.8365, -4.6782, -2.3038)	(-0.0151, 0.0628, 0.0064, -0.9979)	26	876
23	(-6.2456, -12.6477, -1.8387)	(-0.0117, 0.0708, 0.0070, -0.9974)	43	920
24	(-8.0129, -12.9157, -3.0466)	(-0.0079, 0.0761, 0.0090, -0.9970)	43	963
25	(-2.3264, -17.1115, -2.8586)	(-0.0087, 0.0838, 0.0102, -0.9964)	45	1008
26	(-2.8229, -15.9571, -3.1836)	(-0.0077, 0.0899, 0.0120, -0.9959)	43	1051
27	(-6.1166, -11.2958, 1.4744)	(-0.0042, 0.0924, 0.0105, -0.9957)	45	1096
28	(-4.8659, 0.6009, 2.6325)	(-0.0036, 0.0899, 0.0099, -0.9959)	43	1139
